GEOID,GEOCODE,STATE,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
626L600US550042560,550042560,55,2560,M,60025,D1,1577191,,,,,4,20913024,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),12572
626L600US550052560,550052560,55,2560,M,60025,D1,1577191,,,,,5,243997920,332210,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),14524
626L600US550061450,550061450,55,1450,M,35168,D1,2418963,,,,,6,1535413,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),22
626L600US550062175,550062175,55,2175,M,50985,D1,1831784,,,,,6,5072834,4848,Menominee,Menominee Reservation and Off-Reservation Trust Land (part),261
626L600US550062560,550062560,55,2560,M,60025,D1,1577191,,,,,6,967423,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),14
626L600US550064015,550064015,55,4015,M,77450,D1,1577203,,,,,6,70451395,123007,Stockbridge Munsee,Stockbridge Munsee Community and Off-Reservation Trust Land,733
626L600US550091135,550091135,55,1135,M,26557,D1,2418936,,,,,9,34384,0,Forest County Potawatomi,Forest County Potawatomi Community and Off-Reservation Trust Land (part),0
626L600US550181135,550181135,55,1135,M,26557,D1,2418936,,,,,18,51021,0,Forest County Potawatomi,Forest County Potawatomi Community and Off-Reservation Trust Land (part),6
626L600US550283305,550283305,55,3305,M,70642,D1,1843172,,,,,28,1562350,64374,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),110
626L600US550341135,550341135,55,1135,M,26557,D1,2418936,,,,,34,543973,0,Forest County Potawatomi,Forest County Potawatomi Community and Off-Reservation Trust Land (part),0
626L600US550341825,550341825,55,1825,R,40725,D2,1580845,,,,,34,3450649,1286199,Lac du Flambeau,Lac du Flambeau Reservation (part),54
626L600US550351450,550351450,55,1450,M,35168,D1,2418963,,,,,35,1688452,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),73
