GEOID,GEOCODE,STATE,COUNTY,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
622L600US55001009,55001009,55,9,1,233426691,112600646,Brown,Brown County (part),8815
622L600US55001029,55001029,55,29,1,1248277424,4890604607,Door,Door County,30066
622L600US55001061,55001061,55,61,1,886951790,1921336270,Kewaunee,Kewaunee County,20563
622L600US55001071,55001071,55,71,1,38515360,21852,Manitowoc,Manitowoc County (part),390
622L600US55002009,55002009,55,9,2,506198943,7578163,Brown,Brown County (part),39442
622L600US55002071,55002071,55,71,2,555320323,20741460,Manitowoc,Manitowoc County (part),22838
622L600US55002087,55002087,55,87,2,2798170,0,Outagamie,Outagamie County (part),284
622L600US55003015,55003015,55,15,3,376653507,154887231,Calumet,Calumet County (part),37893
622L600US55003087,55003087,55,87,3,55059074,2535763,Outagamie,Outagamie County (part),24013
622L600US55004009,55004009,55,9,4,77961716,2821457,Brown,Brown County (part),58716
622L600US55005009,55005009,55,9,5,101321732,306948,Brown,Brown County (part),14555
622L600US55005087,55005087,55,87,5,836041140,3578995,Outagamie,Outagamie County (part),52873
622L600US55006009,55006009,55,9,6,88880948,63119,Brown,Brown County (part),6441
622L600US55006083,55006083,55,83,6,889323,95476,Oconto,Oconto County (part),0
622L600US55006087,55006087,55,87,6,466514476,10073472,Outagamie,Outagamie County (part),9505
622L600US55006115,55006115,55,115,6,1755121266,31802015,Shawano,Shawano County (part),33238
622L600US55006135,55006135,55,135,6,297423719,2250221,Waupaca,Waupaca County (part),8225
622L600US55007079,55007079,55,79,7,27635994,0,Milwaukee,Milwaukee County (part),59355
622L600US55008079,55008079,55,79,8,11034420,103122,Milwaukee,Milwaukee County (part),53999
622L600US55009079,55009079,55,79,9,20670552,69151,Milwaukee,Milwaukee County (part),57339
622L600US55010079,55010079,55,79,10,19816758,1108706,Milwaukee,Milwaukee County (part),52628
622L600US55011079,55011079,55,79,11,36227470,481346,Milwaukee,Milwaukee County (part),54275
622L600US55012079,55012079,55,79,12,44535113,168771,Milwaukee,Milwaukee County (part),56305
622L600US55013079,55013079,55,79,13,25508511,34241,Milwaukee,Milwaukee County (part),35216
622L600US55013133,55013133,55,133,13,40666830,378681,Waukesha,Waukesha County (part),26563
622L600US55014079,55014079,55,79,14,20155530,9179,Milwaukee,Milwaukee County (part),32245
622L600US55014133,55014133,55,133,14,51604007,791874,Waukesha,Waukesha County (part),27891
622L600US55015079,55015079,55,79,15,18834269,46143,Milwaukee,Milwaukee County (part),36328
622L600US55015133,55015133,55,133,15,39478740,499059,Waukesha,Waukesha County (part),20817
622L600US55016079,55016079,55,79,16,17285465,75400,Milwaukee,Milwaukee County (part),53739
622L600US55017079,55017079,55,79,17,18769804,0,Milwaukee,Milwaukee County (part),55343
622L600US55018079,55018079,55,79,18,14601645,43754,Milwaukee,Milwaukee County (part),52987
622L600US55019079,55019079,55,79,19,17085772,8951102,Milwaukee,Milwaukee County (part),62056
622L600US55020079,55020079,55,79,20,44590035,4062942,Milwaukee,Milwaukee County (part),56812
622L600US55021079,55021079,55,79,21,88623137,1394359023,Milwaukee,Milwaukee County (part),59100
622L600US55022079,55022079,55,79,22,7851031,2208,Milwaukee,Milwaukee County (part),6559
622L600US55022131,55022131,55,131,22,141606263,2431704,Washington,Washington County (part),10891
622L600US55022133,55022133,55,133,22,142708741,1738846,Waukesha,Waukesha County (part),43300
622L600US55023079,55023079,55,79,23,18841502,1044996528,Milwaukee,Milwaukee County (part),26266
622L600US55023089,55023089,55,89,23,113322272,2130478,Ozaukee,Ozaukee County (part),34495
622L600US55024079,55024079,55,79,24,31853706,552594,Milwaukee,Milwaukee County (part),21190
622L600US55024089,55024089,55,89,24,68009661,577871,Ozaukee,Ozaukee County (part),10475
622L600US55024131,55024131,55,131,24,93806579,62654,Washington,Washington County (part),21158
622L600US55024133,55024133,55,133,24,12607486,182451,Waukesha,Waukesha County (part),7914
622L600US55025015,55025015,55,15,25,263407941,2549381,Calumet,Calumet County (part),8145
622L600US55025071,55025071,55,71,25,730965920,2312968839,Manitowoc,Manitowoc County (part),49841
622L600US55026117,55026117,55,117,26,399867842,1946524672,Sheboygan,Sheboygan County (part),58710
622L600US55027015,55027015,55,15,27,1079299,1914,Calumet,Calumet County (part),346
622L600US55027071,55027071,55,71,27,201494365,9612030,Manitowoc,Manitowoc County (part),8290
622L600US55027117,55027117,55,117,27,464157809,15039609,Sheboygan,Sheboygan County (part),50658
622L600US55028013,55028013,55,13,28,963944481,48949891,Burnett,Burnett County (part),9891
622L600US55028095,55028095,55,95,28,2085072777,101636280,Polk,Polk County (part),42073
622L600US55028109,55028109,55,109,28,128496169,4479777,St. Croix,St. Croix County (part),7310
622L600US55029033,55029033,55,33,29,423202682,5468763,Dunn,Dunn County (part),24143
