GEOID,GEOCODE,STATE,COUNTY,COUSUB,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
623L600US5500100922225,5.5001E+12,55,9,22225,1,62572427,466619,Eaton,Eaton town,1662
623L600US5500100931000,5.5001E+12,55,9,31000,1,4193094,0,Green Bay,Green Bay city (part),21
623L600US5500100931025,5.5001E+12,55,9,31025,1,57271851,22688083,Green Bay,Green Bay town,2197
623L600US5500100936425,5.5001E+12,55,9,36425,1,62251046,0,Humboldt,Humboldt town,1299
623L600US5500100972200,5.5001E+12,55,9,72200,1,47138273,89445944,Scott,Scott town,3636
623L600US5500102904325,5.5001E+12,55,29,4325,1,76417645,608851195,Baileys Harbor,Baileys Harbor town,1223
623L600US5500102910700,5.5001E+12,55,29,10700,1,93322345,87889,Brussels,Brussels town,1125
623L600US5500102915025,5.5001E+12,55,29,15025,1,38338938,454388330,Clay Banks,Clay Banks town,385
623L600US5500102922850,5.5001E+12,55,29,22850,1,6381139,10769514,Egg Harbor,Egg Harbor village,358
623L600US5500102922875,5.5001E+12,55,29,22875,1,93395112,216565969,Egg Harbor,Egg Harbor town,1458
623L600US5500102924150,5.5001E+12,55,29,24150,1,9808912,11246892,Ephraim,Ephraim village,345
623L600US5500102926625,5.5001E+12,55,29,26625,1,1346478,2695,Forestville,Forestville village,482
623L600US5500102926650,5.5001E+12,55,29,26650,1,91406641,514883,Forestville,Forestville town,1063
623L600US5500102928300,5.5001E+12,55,29,28300,1,88825463,203027915,Gardner,Gardner town,1218
623L600US5500102928950,5.5001E+12,55,29,28950,1,87478010,181467318,Gibraltar,Gibraltar town,1228
623L600US5500102937750,5.5001E+12,55,29,37750,1,74886911,380469052,Jacksonport,Jacksonport town,878
623L600US5500102943925,5.5001E+12,55,29,43925,1,138978889,1182925060,Liberty Grove,Liberty Grove town,2096
623L600US5500102955500,5.5001E+12,55,29,55500,1,110628616,53790312,Nasewaupee,Nasewaupee town,1984
623L600US5500102972600,5.5001E+12,55,29,72600,1,133935167,430472677,Sevastopol,Sevastopol town,2826
623L600US5500102974225,5.5001E+12,55,29,74225,1,6680235,2566148,Sister Bay,Sister Bay village,1148
623L600US5500102977875,5.5001E+12,55,29,77875,1,25458882,4309410,Sturgeon Bay,Sturgeon Bay city,9646
623L600US5500102977900,5.5001E+12,55,29,77900,1,50146353,443912924,Sturgeon Bay,Sturgeon Bay town,821
623L600US5500102981525,5.5001E+12,55,29,81525,1,54822999,38266437,Union,Union town,1005
623L600US5500102983600,5.5001E+12,55,29,83600,1,66018689,666969987,Washington,Washington town,777
623L600US5500106100000,5.50011E+12,55,61,0,1,0,1914429005,County subdivisions not defined,County subdivisions not defined,0
623L600US5500106100600,5.50011E+12,55,61,600,1,79826715,476889,Ahnapee,Ahnapee town,870
623L600US5500106101000,5.50011E+12,55,61,1000,1,6362282,114522,Algoma,Algoma city,3243
623L600US5500106112575,5.50011E+12,55,61,12575,1,92266198,5911,Carlton,Carlton town,1008
623L600US5500106112850,5.50011E+12,55,61,12850,1,1724089,13429,Casco,Casco village,630
623L600US5500106112875,5.50011E+12,55,61,12875,1,92232973,26897,Casco,Casco town,1150
623L600US5500106127250,5.50011E+12,55,61,27250,1,91952010,1786186,Franklin,Franklin town,964
623L600US5500106139350,5.50011E+12,55,61,39350,1,9146206,515850,Kewaunee,Kewaunee city,2837
623L600US5500106144425,5.50011E+12,55,61,44425,1,92632673,668,Lincoln,Lincoln town,932
623L600US5500106146400,5.50011E+12,55,61,46400,1,5945795,0,Luxemburg,Luxemburg village,2685
623L600US5500106146425,5.50011E+12,55,61,46425,1,88095881,0,Luxemburg,Luxemburg town,1458
623L600US5500106154050,5.50011E+12,55,61,54050,1,93454367,27970,Montpelier,Montpelier town,1362
623L600US5500106162625,5.50011E+12,55,61,62625,1,47826661,651142,Pierce,Pierce town,772
623L600US5500106166700,5.50011E+12,55,61,66700,1,90006062,2999620,Red River,Red River town,1374
623L600US5500106185775,5.50011E+12,55,61,85775,1,95479878,288181,West Kewaunee,West Kewaunee town,1278
623L600US5500107181300,5.50011E+12,55,71,81300,1,38515360,21852,Two Creeks,Two Creeks town,390
623L600US5500200919700,5.5002E+12,55,9,19700,2,5102528,0,Denmark,Denmark village,2408
623L600US5500200919775,5.5002E+12,55,9,19775,2,23305870,2099075,De Pere,De Pere city (part),14677
623L600US5500200929550,5.5002E+12,55,9,29550,2,8078,0,Glenmore,Glenmore town (part),0
623L600US5500200935325,5.5002E+12,55,9,35325,2,93197660,3404,Holland,Holland town,1559
623L600US5500200942900,5.5002E+12,55,9,42900,2,39635849,1664293,Lawrence,Lawrence town,6306
623L600US5500200943090,5.5002E+12,55,9,43090,2,14412291,404073,Ledgeview,Ledgeview town (part),3993
623L600US5500200954300,5.5002E+12,55,9,54300,2,94005174,345643,Morrison,Morrison town,1689
623L600US5500200956575,5.5002E+12,55,9,56575,2,88332474,641634,New Denmark,New Denmark town,1562
623L600US5500200968875,5.5002E+12,55,9,68875,2,54982470,1349479,Rockland,Rockland town,1775
623L600US5500200989150,5.5002E+12,55,9,89150,2,8374321,533448,Wrightstown,Wrightstown village,2895
623L600US5500200989175,5.5002E+12,55,9,89175,2,84842228,537114,Wrightstown,Wrightstown town,2578
623L600US5500207100000,5.50021E+12,55,71,0,2,0,15389252,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5500207116950,5.50021E+12,55,71,16950,2,90620226,398716,Cooperstown,Cooperstown town,1300
623L600US5500207127125,5.50021E+12,55,71,27125,2,2943302,0,Francis Creek,Francis Creek village,659
623L600US5500207127275,5.50021E+12,55,71,27275,2,92970310,708623,Franklin,Franklin town,1250
623L600US5500207128975,5.50021E+12,55,71,28975,2,90775374,695618,Gibson,Gibson town,1315
623L600US5500207139000,5.50021E+12,55,71,39000,2,1396314,1111,Kellnersville,Kellnersville village,307
623L600US5500207140425,5.50021E+12,55,71,40425,2,99341942,752325,Kossuth,Kossuth town,1969
623L600US5500207149250,5.50021E+12,55,71,49250,2,2959920,6291,Maribel,Maribel village,336
623L600US5500207153325,5.50021E+12,55,71,53325,2,6605776,127482,Mishicot,Mishicot village,1432
623L600US5500207153350,5.50021E+12,55,71,53350,2,71140218,326641,Mishicot,Mishicot town,1327
623L600US5500207181325,5.50021E+12,55,71,81325,2,15655135,1168505,Two Rivers,Two Rivers city,11271
623L600US5500207181350,5.50021E+12,55,71,81350,2,80911806,1166896,Two Rivers,Two Rivers town,1672
623L600US5500208789150,5.50021E+12,55,87,89150,2,2798170,0,Wrightstown,Wrightstown village,284
623L600US5500301502375,5.5003E+12,55,15,2375,3,8534443,73697,Appleton,Appleton city,11304
623L600US5500301509725,5.5003E+12,55,15,9725,3,7361237,52676,Brillion,Brillion city,3262
623L600US5500301509750,5.5003E+12,55,15,9750,3,85337873,341146,Brillion,Brillion town,1650
623L600US5500301532790,5.5003E+12,55,15,32790,3,82549544,182833,Harrison,Harrison village,12418
623L600US5500301532800,5.5003E+12,55,15,32800,3,24739,67353876,Harrison,Harrison town,0
623L600US5500301538800,5.5003E+12,55,15,38800,3,38345,0,Kaukauna,Kaukauna city,0
623L600US5500301550825,5.5003E+12,55,15,50825,3,3971112,162105,Menasha,Menasha city,3007
623L600US5500301573525,5.5003E+12,55,15,73525,3,8963111,146633,Sherwood,Sherwood village,3271
623L600US5500301577400,5.5003E+12,55,15,77400,3,8413081,21894,Stockbridge,Stockbridge village,678
623L600US5500301577425,5.5003E+12,55,15,77425,3,87005351,86449651,Stockbridge,Stockbridge town,1453
623L600US5500301589000,5.5003E+12,55,15,89000,3,84454671,102720,Woodville,Woodville town (part),850
623L600US5500308710750,5.50031E+12,55,87,10750,3,39004937,984484,Buchanan,Buchanan town (part),6857
623L600US5500308716500,5.50031E+12,55,87,16500,3,4441948,492887,Combined Locks,Combined Locks village,3634
623L600US5500308738800,5.50031E+12,55,87,38800,3,47124,0,Kaukauna,Kaukauna city (part),22
623L600US5500308739650,5.50031E+12,55,87,39650,3,5949606,296771,Kimberly,Kimberly village,7320
623L600US5500308744950,5.50031E+12,55,87,44950,3,5615459,761621,Little Chute,Little Chute village (part),6180
623L600US5500400901150,5.5004E+12,55,9,1150,4,11824388,1658403,Allouez,Allouez village,14156
623L600US5500400903425,5.5004E+12,55,9,3425,4,32070479,1163054,Ashwaubenon,Ashwaubenon village (part),16991
623L600US5500400919775,5.5004E+12,55,9,19775,4,224566,0,De Pere,De Pere city (part),11
623L600US5500400931000,5.5004E+12,55,9,31000,4,22257815,0,Green Bay,Green Bay city (part),19097
623L600US5500400935950,5.5004E+12,55,9,35950,4,11584468,0,Howard,Howard village (part),8461
623L600US5500500931000,5.5005E+12,55,9,31000,5,3908,0,Green Bay,Green Bay city (part),0
623L600US5500500935150,5.5005E+12,55,9,35150,5,85525907,306948,Hobart,Hobart village,10211
623L600US5500500935950,5.5005E+12,55,9,35950,5,15791917,0,Howard,Howard village (part),4344
623L600US5500508702375,5.50051E+12,55,87,2375,5,109628,0,Appleton,Appleton city (part),0
623L600US5500508707725,5.50051E+12,55,87,7725,5,2575086,16275,Black Creek,Black Creek village,1357
623L600US5500508707750,5.50051E+12,55,87,7750,5,90706913,95878,Black Creek,Black Creek town,1251
623L600US5500508713600,5.50051E+12,55,87,13600,5,90356932,60683,Center,Center town,3622
623L600US5500508714750,5.50051E+12,55,87,14750,5,91461949,311008,Cicero,Cicero town,1008
623L600US5500508723425,5.50051E+12,55,87,23425,5,89608579,1073316,Ellington,Ellington town,3174
623L600US5500508727650,5.50051E+12,55,87,27650,5,89049724,0,Freedom,Freedom town,6216
623L600US5500508735950,5.50051E+12,55,87,35950,5,42911,0,Howard,Howard village,0
623L600US5500508738800,5.50051E+12,55,87,38800,5,20163394,1069010,Kaukauna,Kaukauna city (part),17067
623L600US5500508738825,5.50051E+12,55,87,38825,5,41856297,781259,Kaukauna,Kaukauna town,1306
623L600US5500508744950,5.50051E+12,55,87,44950,5,11095834,84334,Little Chute,Little Chute village (part),5439
