GEOID,GEOCODE,STATE,SLDL18,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
627L600US5500199999,5500199999,55,1,99999,,,2407171265,6924563375,1,Assembly District 1,59834
627L600US5500299999,5500299999,55,2,99999,,,1064317436,28319623,2,Assembly District 2,62564
627L600US5500399999,5500399999,55,3,99999,,,431712581,157422994,3,Assembly District 3,61906
627L600US5500499999,5500499999,55,4,99999,,,77961716,2821457,4,Assembly District 4,58716
627L600US5500599999,5500599999,55,5,99999,,,937362872,3885943,5,Assembly District 5,67428
627L600US5500699999,5500699999,55,6,99999,,,2608829732,44284303,6,Assembly District 6,57409
627L600US5500799999,5500799999,55,7,99999,,,27635994,0,7,Assembly District 7,59355
627L600US5500899999,5500899999,55,8,99999,,,11034420,103122,8,Assembly District 8,53999
627L600US5500999999,5500999999,55,9,99999,,,20670552,69151,9,Assembly District 9,57339
627L600US5501099999,5501099999,55,10,99999,,,19816758,1108706,10,Assembly District 10,52628
627L600US5501105460,5501105460,55,11,5460,,,7813157,419000,Glendale-River Hills School District,Glendale-River Hills School District (part),6276
627L600US5501199999,5501199999,55,11,99999,,,28414313,62346,11,Remainder of Assembly District 11,47999
627L600US5501299999,5501299999,55,12,99999,,,44535113,168771,12,Assembly District 12,56305
627L600US5501399999,5501399999,55,13,99999,,,66175341,412922,13,Assembly District 13,61779
627L600US5501499999,5501499999,55,14,99999,,,71759537,801053,14,Assembly District 14,60136
627L600US5501599999,5501599999,55,15,99999,,,58313009,545202,15,Assembly District 15,57145
627L600US5501699999,5501699999,55,16,99999,,,17285465,75400,16,Assembly District 16,53739
627L600US5501799999,5501799999,55,17,99999,,,18769804,0,17,Assembly District 17,55343
627L600US5501899999,5501899999,55,18,99999,,,14601645,43754,18,Assembly District 18,52987
627L600US5501999999,5501999999,55,19,99999,,,17085772,8951102,19,Assembly District 19,62056
627L600US5502099999,5502099999,55,20,99999,,,44590035,4062942,20,Assembly District 20,56812
627L600US5502199999,5502199999,55,21,99999,,,88623137,1394359023,21,Assembly District 21,59100
627L600US5502200080,5502200080,55,22,80,,,34962054,1032910,Holy Hill Area School District,Holy Hill Area School District (part),3348
627L600US5502204410,5502204410,55,22,4410,,,59503107,861745,Erin School District,Erin School District,2519
627L600US5502206090,5502206090,55,22,6090,,,22818222,1406,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),948
627L600US5502208130,5502208130,55,22,8130,,,9029955,45542,Richmond School District,Richmond School District (part),1741
627L600US5502209360,5502209360,55,22,9360,,,17870375,314827,Merton Community School District,Merton Community School District (part),2449
627L600US5502299999,5502299999,55,22,99999,,,147982322,1916328,22,Remainder of Assembly District 22,49745
627L600US5502304800,5502304800,55,23,4800,,,13362886,0,Fox Point Joint No. 2 School District,Fox Point Joint No. 2 School District,11312
627L600US5502399999,5502399999,55,23,99999,,,118800888,1047127006,23,Remainder of Assembly District 23,49449
627L600US5502404770,5502404770,55,24,4770,,,13566308,452589,Maple Dale-Indian Hill School District,Maple Dale-Indian Hill School District,1784
627L600US5502405460,5502405460,55,24,5460,,,6903483,100005,Glendale-River Hills School District,Glendale-River Hills School District (part),6899
627L600US5502499999,5502499999,55,24,99999,,,185807641,822976,24,Remainder of Assembly District 24,52054
627L600US5502599999,5502599999,55,25,99999,,,994373861,2315518220,25,Assembly District 25,57986
627L600US5502699999,5502699999,55,26,99999,,,399867842,1946524672,26,Assembly District 26,58710
627L600US5502799999,5502799999,55,27,99999,,,666731473,24653553,27,Assembly District 27,59294
627L600US5502899999,5502899999,55,28,99999,,,3177513427,155065948,28,Assembly District 28,59274
627L600US5502999999,5502999999,55,29,99999,,,1575467116,14733235,29,Assembly District 29,61746
627L600US5503099999,5503099999,55,30,99999,,,615052060,19480482,30,Assembly District 30,62735
627L600US5503104720,5503104720,55,31,4720,,,26248238,139668,Fontana Joint No. 8 School District,Fontana Joint No. 8 School District (part),3594
627L600US5503105100,5503105100,55,31,5100,,,6081,0,Geneva Joint No. 4 School District,Geneva Joint No. 4 School District (part),0
627L600US5503108070,5503108070,55,31,8070,,,2651553,2397,Linn Joint No. 6 School District,Linn Joint No. 6 School District (part),59
627L600US5503113560,5503113560,55,31,13560,,,51136895,0,Sharon Joint No. 11 School District,Sharon Joint No. 11 School District,1975
627L600US5503115450,5503115450,55,31,15450,,,69468971,146130,Walworth Joint No. 1 School District,Walworth Joint No. 1 School District (part),3844
627L600US5503199999,5503199999,55,31,99999,,,869347363,10186616,31,Remainder of Assembly District 31,50480
627L600US5503204720,5503204720,55,32,4720,,,1795319,858742,Fontana Joint No. 8 School District,Fontana Joint No. 8 School District (part),368
627L600US5503205100,5503205100,55,32,5100,,,10565402,0,Geneva Joint No. 4 School District,Geneva Joint No. 4 School District (part),1105
627L600US5503205130,5503205130,55,32,5130,,,46535679,898563,Genoa City Joint No. 2 School District,Genoa City Joint No. 2 School District,5068
627L600US5503207620,5503207620,55,32,7620,,,136227056,1679737,Lake Geneva Joint No. 1 School District,Lake Geneva Joint No. 1 School District,18339
627L600US5503208040,5503208040,55,32,8040,,,36472524,39134,Linn Joint No. 4 School District,Linn Joint No. 4 School District,1003
627L600US5503208070,5503208070,55,32,8070,,,38485604,0,Linn Joint No. 6 School District,Linn Joint No. 6 School District (part),1236
627L600US5503212390,5503212390,55,32,12390,,,593972,3012,Randall Joint No. 1 School District,Randall Joint No. 1 School District (part),5
627L600US5503215450,5503215450,55,32,15450,,,425598,0,Walworth Joint No. 1 School District,Walworth Joint No. 1 School District (part),6
627L600US5503216560,5503216560,55,32,16560,,,61306720,1004886,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District (part),3391
627L600US5503299999,5503299999,55,32,99999,,,378413421,33542151,32,Remainder of Assembly District 32,28876
627L600US5503399999,5503399999,55,33,99999,,,853335855,21480734,33,Assembly District 33,58490
627L600US5503401530,5503401530,55,34,1530,,,557637217,132417188,North Lakeland School District,North Lakeland School District (part),3038
627L600US5503409690,5503409690,55,34,9690,,,554825199,73914356,Minocqua Joint No. 1 School District,Minocqua Joint No. 1 School District,7516
627L600US5503417160,5503417160,55,34,17160,,,231954778,43853722,Woodruff Joint No. 1 School District,Woodruff Joint No. 1 School District,5447
627L600US5503499999,5503499999,55,34,99999,,,5460465382,407045139,34,Remainder of Assembly District 34,44802
627L600US5503599999,5503599999,55,35,99999,,,5410260487,161570191,35,Assembly District 35,56431
627L600US5503699999,5503699999,55,36,99999,,,8109657382,208592616,36,Assembly District 36,57713
627L600US5503700075,5503700075,55,37,75,,,13814487,347277,Herman-Neosho-Rubicon School District,Herman-Neosho-Rubicon School District (part),112
627L600US5503799999,5503799999,55,37,99999,,,866920476,9876002,37,Remainder of Assembly District 37,61070
627L600US5503809390,5503809390,55,38,9390,,,5641292,40284,Stone Bank School District,Stone Bank School District (part),726
627L600US5503899999,5503899999,55,38,99999,,,1019607551,30824297,38,Remainder of Assembly District 38,60920
627L600US5503900075,5503900075,55,39,75,,,196199820,1247548,Herman-Neosho-Rubicon School District,Herman-Neosho-Rubicon School District (part),4660
627L600US5503906090,5503906090,55,39,6090,,,31307844,298415,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),3359
627L600US5503999999,5503999999,55,39,99999,,,950857998,36183324,39,Remainder of Assembly District 39,50173
627L600US5504099999,5504099999,55,40,99999,,,2369841659,62968438,40,Assembly District 40,57138
627L600US5504199999,5504199999,55,41,99999,,,2641082704,130016605,41,Assembly District 41,57743
627L600US5504299999,5504299999,55,42,99999,,,2844707107,88822412,42,Assembly District 42,58322
627L600US5504399999,5504399999,55,43,99999,,,1214858077,62791575,43,Assembly District 43,59492
627L600US5504499999,5504499999,55,44,99999,,,74814416,1555076,44,Assembly District 44,58574
627L600US5504599999,5504599999,55,45,99999,,,1086317705,5379278,45,Assembly District 45,57664
627L600US5504699999,5504699999,55,46,99999,,,303805323,7378281,46,Assembly District 46,65092
627L600US5504799999,5504799999,55,47,99999,,,193250123,20382196,47,Assembly District 47,63646
627L600US5504899999,5504899999,55,48,99999,,,72601507,1431737,48,Assembly District 48,63754
627L600US5504999999,5504999999,55,49,99999,,,3711768024,98559124,49,Assembly District 49,57941
627L600US5505099999,5505099999,55,50,99999,,,3457642761,107488376,50,Assembly District 50,58713
627L600US5505199999,5505199999,55,51,99999,,,4070866242,24600590,51,Assembly District 51,56878
627L600US5505299999,5505299999,55,52,99999,,,464352790,58704314,52,Assembly District 52,59848
627L600US5505399999,5505399999,55,53,99999,,,1054689202,201692858,53,Assembly District 53,58579
627L600US5505499999,5505499999,55,54,99999,,,49830722,77728460,54,Assembly District 54,57411
627L600US5505599999,5505599999,55,55,99999,,,211406700,30286836,55,Assembly District 55,61992
627L600US5505699999,5505699999,55,56,99999,,,577003773,107810040,56,Assembly District 56,64544
627L600US5505799999,5505799999,55,57,99999,,,39156135,6475594,57,Assembly District 57,57937
627L600US5505800080,5505800080,55,58,80,,,29531319,1578,Holy Hill Area School District,Holy Hill Area School District (part),3578
627L600US5505806090,5505806090,55,58,6090,,,223596,0,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),125
627L600US5505899999,5505899999,55,58,99999,,,198275059,6538606,58,Remainder of Assembly District 58,55351
627L600US5505906090,5505906090,55,59,6090,,,75146246,1931357,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),14569
627L600US5505999999,5505999999,55,59,99999,,,1555514334,63198194,59,Remainder of Assembly District 59,43589
627L600US5506099999,5506099999,55,60,99999,,,685172819,2285900273,60,Assembly District 60,59358
627L600US5506100052,5506100052,55,61,52,,,26299929,2369563,Trevor-Wilmot Consolidated School District,Trevor-Wilmot Consolidated School District,3859
627L600US5506101650,5506101650,55,61,1650,,,86854456,505856,Brighton No. 1 School District,Brighton No. 1 School District,1291
627L600US5506101710,5506101710,55,61,1710,,,83384305,608669,Bristol No. 1 School District,Bristol No. 1 School District (part),4661
627L600US5506111400,5506111400,55,61,11400,,,89954345,6123,Paris Joint No. 1 School District,Paris Joint No. 1 School District (part),1629
627L600US5506112390,5506112390,55,61,12390,,,42287726,1694443,Randall Joint No. 1 School District,Randall Joint No. 1 School District (part),5678
627L600US5506113350,5506113350,55,61,13350,,,44379686,2570882,Salem School District,Salem School District,9482
627L600US5506113860,5506113860,55,61,13860,,,10239310,2920956,Silver Lake Joint No. 1 School District,Silver Lake Joint No. 1 School District,4000
627L600US5506115090,5506115090,55,61,15090,,,6755705,4064458,Twin Lakes No. 4 School District,Twin Lakes No. 4 School District,3708
627L600US5506115180,5506115180,55,61,15180,,,4923217,0,Union Grove Joint No. 1 School District,Union Grove Joint No. 1 School District (part),43
627L600US5506116560,5506116560,55,61,16560,,,19047579,277386,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District (part),777
627L600US5506199999,5506199999,55,61,99999,,,131218869,1229128779,61,Remainder of Assembly District 61,24844
627L600US5506210800,5506210800,55,62,10800,,,21058068,32878,Norway Joint No. 7 School District,Norway Joint No. 7 School District,839
627L600US5506212480,5506212480,55,62,12480,,,80655156,340856,Raymond No. 14 School District,Raymond No. 14 School District,3389
627L600US5506212510,5506212510,55,62,12510,,,52629470,153504,North Cape School District,North Cape School District (part),1899
627L600US5506215660,5506215660,55,62,15660,,,9463271,116348,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District (part),784
627L600US5506215700,5506215700,55,62,15700,,,222589,0,Washington-Caldwell School District,Washington-Caldwell School District (part),7
