GEOID,GEOCODE,STATE,COUNTY,TRACT,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
636L600US55001009001802,5.5001E+13,55,9,1802,1,5749615,0,18.02,Census Tract 18.02 (part),1336
636L600US55001009020100,5.5001E+13,55,9,20100,1,165104649,105013505,201,Census Tract 201,5817
636L600US55001009020203,5.5001E+13,55,9,20203,1,0,7120522,202.03,Census Tract 202.03 (part),0
636L600US55001009020600,5.5001E+13,55,9,20600,1,62572427,466619,206,Census Tract 206 (part),1662
636L600US55001029100100,5.5001E+13,55,29,100100,1,192719163,581075331,1001,Census Tract 1001,2554
636L600US55001029100300,5.5001E+13,55,29,100300,1,114776963,355254018,1003,Census Tract 1003,2975
636L600US55001029100400,5.5001E+13,55,29,100400,1,181588999,256234456,1004,Census Tract 1004,3118
636L600US55001029100500,5.5001E+13,55,29,100500,1,202982073,152603893,1005,Census Tract 1005,3601
636L600US55001029100600,5.5001E+13,55,29,100600,1,247219861,6326130,1006,Census Tract 1006,3356
636L600US55001029100700,5.5001E+13,55,29,100700,1,18334894,1243450,1007,Census Tract 1007,4894
636L600US55001029100800,5.5001E+13,55,29,100800,1,46526588,7698944,1008,Census Tract 1008,5554
636L600US55001029100900,5.5001E+13,55,29,100900,1,103370454,53368943,1009,Census Tract 1009,1775
636L600US55001029101000,5.5001E+13,55,29,101000,1,140758429,241137687,1010,Census Tract 1010,2239
636L600US55001029990000,5.5001E+13,55,29,990000,1,0,3235661755,9900,Census Tract 9900,0
636L600US55001061960100,5.50011E+13,55,61,960100,1,7950296,1658681,9601,Census Tract 9601,3227
636L600US55001061960200,5.50011E+13,55,61,960200,1,214813773,12150040,9602,Census Tract 9602,2506
636L600US55001061960401,5.50011E+13,55,61,960401,1,214575610,526869,9604.01,Census Tract 9604.01,5116
636L600US55001061960402,5.50011E+13,55,61,960402,1,174329598,3017518,9604.02,Census Tract 9604.02,3785
636L600US55001061960500,5.50011E+13,55,61,960500,1,275282513,7508680,9605,Census Tract 9605,5929
636L600US55001061990000,5.50011E+13,55,61,990000,1,0,1896474482,9900,Census Tract 9900,0
636L600US55001071010100,5.50011E+13,55,71,10100,1,38515360,21852,101,Census Tract 101 (part),390
636L600US55002009010100,5.5002E+13,55,9,10100,2,420682,476726,101,Census Tract 101 (part),334
636L600US55002009010201,5.5002E+13,55,9,10201,2,3809276,1275810,102.01,Census Tract 102.01 (part),4590
636L600US55002009010202,5.5002E+13,55,9,10202,2,6542444,12251,102.02,Census Tract 102.02,5453
636L600US55002009010300,5.5002E+13,55,9,10300,2,12504031,604753,103,Census Tract 103 (part),2702
636L600US55002009020600,5.5002E+13,55,9,20600,2,93435002,641634,206,Census Tract 206 (part),3970
636L600US55002009020702,5.5002E+13,55,9,20702,2,7159030,0,207.02,Census Tract 207.02 (part),1765
636L600US55002009021400,5.5002E+13,55,9,21400,2,149014192,2553649,214,Census Tract 214,8174
636L600US55002009021500,5.5002E+13,55,9,21500,2,187202834,349047,215,Census Tract 215,3248
636L600US55002009940006,5.5002E+13,55,9,940006,2,25964196,300988,9400.06,Census Tract 9400.06 (part),2153
636L600US55002009940007,5.5002E+13,55,9,940007,2,11793748,1363305,9400.07,Census Tract 9400.07,3808
636L600US55002009940008,5.5002E+13,55,9,940008,2,8353508,0,9400.08,Census Tract 9400.08 (part),3245
636L600US55002071000100,5.50021E+13,55,71,100,2,857401,0,1,Census Tract 1 (part),2
636L600US55002071005100,5.50021E+13,55,71,5100,2,7580734,1634480,51,Census Tract 51,2231
636L600US55002071005200,5.50021E+13,55,71,5200,2,10045372,863619,52,Census Tract 52,4477
636L600US55002071005300,5.50021E+13,55,71,5300,2,1137844,123420,53,Census Tract 53,2006
636L600US55002071005400,5.50021E+13,55,71,5400,2,11964998,4025400,54,Census Tract 54,2971
636L600US55002071010100,5.50021E+13,55,71,10100,2,142726586,11531857,101,Census Tract 101 (part),4015
636L600US55002071010200,5.50021E+13,55,71,10200,2,287302996,1854061,102,Census Tract 102,5721
636L600US55002071010300,5.50021E+13,55,71,10300,2,93704392,708623,103,Census Tract 103 (part),1415
636L600US55002087013300,5.50021E+13,55,87,13300,2,2798170,0,133,Census Tract 133 (part),284
636L600US55003015020100,5.5003E+13,55,15,20100,3,92699110,393822,201,Census Tract 201,4912
636L600US55003015020200,5.5003E+13,55,15,20200,3,84612281,102720,202,Census Tract 202 (part),850
636L600US55003015020303,5.5003E+13,55,15,20303,3,2018483,0,203.03,Census Tract 203.03,3762
636L600US55003015020304,5.5003E+13,55,15,20304,3,1884686,0,203.04,Census Tract 203.04,3591
636L600US55003015020306,5.5003E+13,55,15,20306,3,74644677,58976949,203.06,Census Tract 203.06,7047
636L600US55003015020308,5.5003E+13,55,15,20308,3,13279301,8859696,203.08,Census Tract 203.08,4943
636L600US55003015020400,5.5003E+13,55,15,20400,3,95418432,86471545,204,Census Tract 204 (part),2131
636L600US55003015020700,5.5003E+13,55,15,20700,3,3900457,8495,207,Census Tract 207,4448
636L600US55003015020800,5.5003E+13,55,15,20800,3,8196080,74004,208,Census Tract 208,6209
636L600US55003087010601,5.50031E+13,55,87,10601,3,34777,0,106.01,Census Tract 106.01 (part),29
636L600US55003087011502,5.50031E+13,55,87,11502,3,1665501,384688,115.02,Census Tract 115.02 (part),253
636L600US55003087011600,5.50031E+13,55,87,11600,3,7556288,216111,116,Census Tract 116,7390
636L600US55003087011700,5.50031E+13,55,87,11700,3,1673645,104291,117,Census Tract 117,2696
636L600US55003087011800,5.50031E+13,55,87,11800,3,1276934,241886,118,Census Tract 118,1945
636L600US55003087011901,5.50031E+13,55,87,11901,3,1541390,0,119.01,Census Tract 119.01 (part),2847
636L600US55003087011902,5.50031E+13,55,87,11902,3,1131634,135047,119.02,Census Tract 119.02 (part),1135
636L600US55003087012000,5.50031E+13,55,87,12000,3,8121287,492887,120,Census Tract 120,6669
636L600US55003087012101,5.50031E+13,55,87,12101,3,3743977,0,121.01,Census Tract 121.01 (part),101
636L600US55003087012102,5.50031E+13,55,87,12102,3,37272,0,121.02,Census Tract 121.02 (part),14
636L600US55003087013300,5.50031E+13,55,87,13300,3,28276369,960853,133,Census Tract 133 (part),934
636L600US55004009000302,5.5004E+13,55,9,302,4,2142474,0,3.02,Census Tract 3.02 (part),3247
636L600US55004009000402,5.5004E+13,55,9,402,4,1804300,0,4.02,Census Tract 4.02,2206
636L600US55004009000600,5.5004E+13,55,9,600,4,1281646,0,6,Census Tract 6 (part),2011
636L600US55004009000700,5.5004E+13,55,9,700,4,42061,0,7,Census Tract 7 (part),96
636L600US55004009000800,5.5004E+13,55,9,800,4,10427,0,8,Census Tract 8 (part),0
636L600US55004009010201,5.5004E+13,55,9,10201,4,128104,0,102.01,Census Tract 102.01 (part),11
636L600US55004009020502,5.5004E+13,55,9,20502,4,3824122,0,205.02,Census Tract 205.02 (part),1166
636L600US55004009020504,5.5004E+13,55,9,20504,4,2749543,0,205.04,Census Tract 205.04 (part),2566
636L600US55004009020505,5.5004E+13,55,9,20505,4,4557629,0,205.05,Census Tract 205.05 (part),4031
636L600US55004009020506,5.5004E+13,55,9,20506,4,453174,0,205.06,Census Tract 205.06 (part),698
636L600US55004009020800,5.5004E+13,55,9,20800,4,2609178,502601,208,Census Tract 208,2351
636L600US55004009020900,5.5004E+13,55,9,20900,4,2001983,314524,209,Census Tract 209,2800
636L600US55004009021000,5.5004E+13,55,9,21000,4,2935393,657811,210,Census Tract 210,2841
636L600US55004009021200,5.5004E+13,55,9,21200,4,4061229,183467,212,Census Tract 212,5102
636L600US55004009021301,5.5004E+13,55,9,21301,4,2592870,0,213.01,Census Tract 213.01,2954
636L600US55004009021302,5.5004E+13,55,9,21302,4,7250344,0,213.02,Census Tract 213.02,6209
636L600US55004009021303,5.5004E+13,55,9,21303,4,8847646,1163054,213.03,Census Tract 213.03,3776
636L600US55004009021304,5.5004E+13,55,9,21304,4,4267366,0,213.04,Census Tract 213.04,2206
636L600US55004009940002,5.5004E+13,55,9,940002,4,9731539,0,9400.02,Census Tract 9400.02 (part),4536
636L600US55004009940003,5.5004E+13,55,9,940003,4,4091739,0,9400.03,Census Tract 9400.03,3715
