GEOID,GEOCODE,STATE,COUNTY,COUSUB,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
635L600US55001009000195,5.5001E+13,55,9,72200,1,195,3877528,0,SCOTT - T 0001,SCOTT - T 0001,890
635L600US55001009000214,5.5001E+13,55,9,72200,1,214,5271201,0,SCOTT - T 0003,SCOTT - T 0003,795
635L600US55001009000226,5.5001E+13,55,9,36425,1,226,15722032,0,HUMBOLDT - T 0002,HUMBOLDT - T 0002,379
635L600US55001009000230,5.5001E+13,55,9,31000,1,230,4193094,0,Green Bay - C 0001,Green Bay - C 0001,21
635L600US55001009000239,5.5001E+13,55,9,31025,1,239,11691793,0,GREEN BAY - T 0002,GREEN BAY - T 0002,838
635L600US55001009000240,5.5001E+13,55,9,22225,1,240,25796217,434154,EATON - T 0001,EATON - T 0001,579
635L600US55001009000263,5.5001E+13,55,9,22225,1,263,36776210,32465,EATON - T 0002,EATON - T 0002,1083
635L600US55001009000266,5.5001E+13,55,9,36425,1,266,46529014,0,HUMBOLDT - T 0001,HUMBOLDT - T 0001,920
635L600US55001009000275,5.5001E+13,55,9,31025,1,275,31373313,0,GREEN BAY - T 0003,GREEN BAY - T 0003,632
635L600US55001009000331,5.5001E+13,55,9,72200,1,331,20976624,59355474,SCOTT - T 0004,SCOTT - T 0004,1002
635L600US55001009000333,5.5001E+13,55,9,31025,1,333,14206745,22688083,GREEN BAY - T 0001,GREEN BAY - T 0001,727
635L600US55001009000334,5.5001E+13,55,9,72200,1,334,17012920,30090470,SCOTT - T 0002,SCOTT - T 0002,949
635L600US55001029001606,5.5001E+13,55,29,4325,1,1606,30005737,3744512,BAILEYS HARBOR - T 0001,BAILEYS HARBOR - T 0001,509
635L600US55001029001607,5.5001E+13,55,29,4325,1,1607,46411908,605106683,BAILEYS HARBOR - T 0002,BAILEYS HARBOR - T 0002,714
635L600US55001029001608,5.5001E+13,55,29,10700,1,1608,14843471,0,BRUSSELS - T 0001,BRUSSELS - T 0001,350
635L600US55001029001609,5.5001E+13,55,29,10700,1,1609,78478874,87889,BRUSSELS - T 0002,BRUSSELS - T 0002,775
635L600US55001029001610,5.5001E+13,55,29,15025,1,1610,38338938,454388330,CLAY BANKS - T 0001,CLAY BANKS - T 0001,385
635L600US55001029001611,5.5001E+13,55,29,22875,1,1611,59261147,109596165,EGG HARBOR - T 0001,EGG HARBOR - T 0001,956
635L600US55001029001612,5.5001E+13,55,29,22875,1,1612,27087595,106969804,EGG HARBOR - T 0002,EGG HARBOR - T 0002,434
635L600US55001029001613,5.5001E+13,55,29,22875,1,1613,7046370,0,EGG HARBOR - T 0003,EGG HARBOR - T 0003,68
635L600US55001029001614,5.5001E+13,55,29,26650,1,1614,39924383,427410,FORESTVILLE - T 0001,FORESTVILLE - T 0001,582
635L600US55001029001615,5.5001E+13,55,29,26650,1,1615,51482258,87473,FORESTVILLE - T 0002,FORESTVILLE - T 0002,481
635L600US55001029001616,5.5001E+13,55,29,28300,1,1616,62005763,42295372,GARDNER - T 0001,GARDNER - T 0001,679
635L600US55001029001617,5.5001E+13,55,29,28300,1,1617,26819700,160732543,GARDNER - T 0002,GARDNER - T 0002,539
635L600US55001029001618,5.5001E+13,55,29,28950,1,1618,49309095,1003772,GIBRALTAR - T 0001,GIBRALTAR - T 0001,671
635L600US55001029001619,5.5001E+13,55,29,28950,1,1619,38168915,180463546,GIBRALTAR - T 0002,GIBRALTAR - T 0002,557
635L600US55001029001620,5.5001E+13,55,29,37750,1,1620,39149840,1623729,JACKSONPORT - T 0001,JACKSONPORT - T 0001,447
635L600US55001029001621,5.5001E+13,55,29,37750,1,1621,35737071,378845323,JACKSONPORT - T 0002,JACKSONPORT - T 0002,431
635L600US55001029001622,5.5001E+13,55,29,43925,1,1622,53147014,1052276640,LIBERTY GROVE - T 0001,LIBERTY GROVE - T 0001,758
635L600US55001029001623,5.5001E+13,55,29,43925,1,1623,20519640,66723830,LIBERTY GROVE - T 0002,LIBERTY GROVE - T 0002,587
635L600US55001029001624,5.5001E+13,55,29,43925,1,1624,65312235,63924590,LIBERTY GROVE - T 0003,LIBERTY GROVE - T 0003,751
635L600US55001029001625,5.5001E+13,55,29,55500,1,1625,27468025,53583251,NASEWAUPEE - T 0001,NASEWAUPEE - T 0001,811
635L600US55001029001626,5.5001E+13,55,29,55500,1,1626,24953509,0,NASEWAUPEE - T 0002,NASEWAUPEE - T 0002,498
635L600US55001029001627,5.5001E+13,55,29,55500,1,1627,58207082,207061,NASEWAUPEE - T 0003,NASEWAUPEE - T 0003,675
635L600US55001029001628,5.5001E+13,55,29,72600,1,1628,46127587,0,SEVASTOPOL - T 0001,SEVASTOPOL - T 0001,692
635L600US55001029001629,5.5001E+13,55,29,72600,1,1629,2469513,7422452,SEVASTOPOL - T 0002,SEVASTOPOL - T 0002,308
635L600US55001029001630,5.5001E+13,55,29,72600,1,1630,28396875,16295163,SEVASTOPOL - T 0003,SEVASTOPOL - T 0003,754
635L600US55001029001631,5.5001E+13,55,29,72600,1,1631,5581077,0,SEVASTOPOL - T 0004,SEVASTOPOL - T 0004,353
635L600US55001029001632,5.5001E+13,55,29,72600,1,1632,51360115,406755062,SEVASTOPOL - T 0005,SEVASTOPOL - T 0005,719
635L600US55001029001633,5.5001E+13,55,29,77900,1,1633,24669920,418405138,STURGEON BAY - T 0001,STURGEON BAY - T 0001,444
635L600US55001029001634,5.5001E+13,55,29,77900,1,1634,25325318,25439174,STURGEON BAY - T 0002,STURGEON BAY - T 0002,377
635L600US55001029001635,5.5001E+13,55,29,81525,1,1635,54822999,38266437,UNION - T 0001,UNION - T 0001,1005
635L600US55001029001636,5.5001E+13,55,29,83600,1,1636,66018689,666969987,WASHINGTON - T 0001,WASHINGTON - T 0001,777
635L600US55001029001637,5.5001E+13,55,29,22850,1,1637,6381139,10769514,Egg Harbor - V 0001,Egg Harbor - V 0001,358
635L600US55001029001638,5.5001E+13,55,29,24150,1,1638,9808912,11246892,Ephraim - V 0001,Ephraim - V 0001,345
635L600US55001029001639,5.5001E+13,55,29,26625,1,1639,1346478,2695,Forestville - V 0001,Forestville - V 0001,482
635L600US55001029001640,5.5001E+13,55,29,74225,1,1640,6680235,2566148,Sister Bay - V 0001,Sister Bay - V 0001,1148
635L600US55001029001641,5.5001E+13,55,29,77875,1,1641,981983,804670,Sturgeon Bay - C 0001,Sturgeon Bay - C 0001,695
635L600US55001029001642,5.5001E+13,55,29,77875,1,1642,384715,0,Sturgeon Bay - C 0002,Sturgeon Bay - C 0002,610
635L600US55001029001643,5.5001E+13,55,29,77875,1,1643,817570,24914,Sturgeon Bay - C 0003,Sturgeon Bay - C 0003,711
635L600US55001029001644,5.5001E+13,55,29,77875,1,1644,601691,469369,Sturgeon Bay - C 0004,Sturgeon Bay - C 0004,595
635L600US55001029001645,5.5001E+13,55,29,77875,1,1645,3295293,854287,Sturgeon Bay - C 0005,Sturgeon Bay - C 0005,986
635L600US55001029001646,5.5001E+13,55,29,77875,1,1646,5445496,547726,Sturgeon Bay - C 0006,Sturgeon Bay - C 0006,457
635L600US55001029001647,5.5001E+13,55,29,77875,1,1647,2565517,0,Sturgeon Bay - C 0007,Sturgeon Bay - C 0007,325
635L600US55001029001648,5.5001E+13,55,29,77875,1,1648,1552169,656676,Sturgeon Bay - C 0008,Sturgeon Bay - C 0008,733
635L600US55001029001649,5.5001E+13,55,29,77875,1,1649,636200,0,Sturgeon Bay - C 0009,Sturgeon Bay - C 0009,673
635L600US55001029001650,5.5001E+13,55,29,77875,1,1650,601316,913841,Sturgeon Bay - C 0010,Sturgeon Bay - C 0010,446
635L600US55001029001651,5.5001E+13,55,29,77875,1,1651,938471,0,Sturgeon Bay - C 0011,Sturgeon Bay - C 0011,732
635L600US55001029001652,5.5001E+13,55,29,77875,1,1652,1361980,0,Sturgeon Bay - C 0012,Sturgeon Bay - C 0012,644
635L600US55001029001653,5.5001E+13,55,29,77875,1,1653,611414,0,Sturgeon Bay - C 0013,Sturgeon Bay - C 0013,718
635L600US55001029001654,5.5001E+13,55,29,77875,1,1654,674433,0,Sturgeon Bay - C 0014,Sturgeon Bay - C 0014,595
635L600US55001029001655,5.5001E+13,55,29,77875,1,1655,268961,0,Sturgeon Bay - C 0015,Sturgeon Bay - C 0015,37
635L600US55001029001656,5.5001E+13,55,29,77875,1,1656,226580,0,Sturgeon Bay - C 0016,Sturgeon Bay - C 0016,70
635L600US55001029001657,5.5001E+13,55,29,77875,1,1657,119539,0,Sturgeon Bay - C 0017,Sturgeon Bay - C 0017,0
635L600US55001029001658,5.5001E+13,55,29,77875,1,1658,32039,0,Sturgeon Bay - C 0018,Sturgeon Bay - C 0018,23
635L600US55001029001659,5.5001E+13,55,29,77875,1,1659,184539,0,Sturgeon Bay - C 0019,Sturgeon Bay - C 0019,119
635L600US55001029001660,5.5001E+13,55,29,77875,1,1660,2124243,35672,Sturgeon Bay - C 0020,Sturgeon Bay - C 0020,357
635L600US55001029001661,5.5001E+13,55,29,77875,1,1661,33715,0,Sturgeon Bay - C 0021,Sturgeon Bay - C 0021,8
635L600US55001029001662,5.5001E+13,55,29,77875,1,1662,67993,2255,Sturgeon Bay - C 0022,Sturgeon Bay - C 0022,0
635L600US55001029001663,5.5001E+13,55,29,77875,1,1663,80293,0,Sturgeon Bay - C 0023,Sturgeon Bay - C 0023,16
