GEOID,GEOCODE,STATE,COUNTY,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100
5101600US5501059,5501059,55,59,1,704054452,1248862087,Kenosha,Kenosha County,169151
5101600US5501079,5501079,55,79,1,185907895,309936,Milwaukee,Milwaukee County (part),95887
5101600US5501101,5501101,55,101,1,861537618,1190103013,Racine,Racine County,197727
5101600US5501105,5501105,55,105,1,695965783,3951584,Rock,Rock County (part),82578
5101600US5501127,5501127,55,127,1,1422411936,54156076,Walworth,Walworth County (part),94667
5101600US5501133,5501133,55,133,1,605591209,26362780,Waukesha,Waukesha County (part),87442
5101600US5502025,5502025,55,25,2,3098899108,106217126,Dane,Dane County,561504
5101600US5502045,5502045,55,45,2,1512667175,1313241,Green,Green County,37093
5101600US5502049,5502049,55,49,2,1975379904,13870324,Iowa,Iowa County,23709
5101600US5502065,5502065,55,65,2,1640985427,2539010,Lafayette,Lafayette County,16611
5101600US5502103,5502103,55,103,2,204849159,2621164,Richland,Richland County (part),3604
5101600US5502105,5502105,55,105,2,1164079201,16744214,Rock,Rock County (part),81109
5101600US5502111,5502111,55,111,2,2153686013,45692969,Sauk,Sauk County,65763
5101600US5503001,5503001,55,1,3,1672216054,108348982,Adams,Adams County,20654
5101600US5503011,5503011,55,11,3,1750290818,87549529,Buffalo,Buffalo County,13317
5101600US5503017,5503017,55,17,3,742719672,16827964,Chippewa,Chippewa County (part),39158
5101600US5503023,5503023,55,23,3,1477970925,73976386,Crawford,Crawford County,16113
5101600US5503033,5503033,55,33,3,2201902840,35572613,Dunn,Dunn County,45440
5101600US5503035,5503035,55,35,3,1652211227,18848551,Eau Claire,Eau Claire County,105710
5101600US5503043,5503043,55,43,3,2970402286,94521527,Grant,Grant County,51938
5101600US5503053,5503053,55,53,3,1745423394,13294391,Jackson,Jackson County (part),19174
5101600US5503057,5503057,55,57,3,1110563468,15135410,Juneau,Juneau County (part),20806
5101600US5503063,5503063,55,63,3,1170166356,73159122,La Crosse,La Crosse County,120784
5101600US5503081,5503081,55,81,3,1988541161,4315149,Monroe,Monroe County (part),41589
5101600US5503091,5503091,55,91,3,600894491,43241432,Pepin,Pepin County,7318
5101600US5503093,5503093,55,93,3,1486700521,48452323,Pierce,Pierce County,42212
5101600US5503097,5503097,55,97,3,2074252980,56835087,Portage,Portage County,70377
5101600US5503103,5503103,55,103,3,1313271117,5532259,Richland,Richland County (part),13700
5101600US5503121,5503121,55,121,3,1898383310,23321910,Trempealeau,Trempealeau County,30760
5101600US5503123,5503123,55,123,3,2050136139,64289089,Vernon,Vernon County,30714
5101600US5503141,5503141,55,141,3,888002465,31845868,Wood,Wood County (part),43820
5101600US5504079,5504079,55,79,4,332435216,2454541410,Milwaukee,Milwaukee County (part),695395
5101600US5504133,5504133,55,133,4,178457,13110,Waukesha,Waukesha County (part),0
5101600US5505027,5505027,55,27,5,1413359185,30145559,Dodge,Dodge County (part),36048
5101600US5505055,5505055,55,55,5,1441308410,67985729,Jefferson,Jefferson County,84900
