GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100
5211600US550105900000,5.50106E+11,55,59,0,1,0,1231766602,County subdivisions not defined,County subdivisions not defined,0
5211600US550105909635,5.50106E+11,55,59,9635,1,92196440,513891,Brighton,Brighton town,1422
5211600US550105909800,5.50106E+11,55,59,9800,1,84702886,928285,Bristol,Bristol village,5192
5211600US550105928675,5.50106E+11,55,59,28675,1,582775,0,Genoa City,Genoa City village,5
5211600US550105939225,5.50106E+11,55,59,39225,1,73368731,225960,Kenosha,Kenosha city,99986
5211600US550105960975,5.50106E+11,55,59,60975,1,7510774,540314,Paddock Lake,Paddock Lake village,2919
5211600US550105961175,5.50106E+11,55,59,61175,1,90455836,6123,Paris,Paris town,1397
5211600US550105963300,5.50106E+11,55,59,63300,1,86444324,799660,Pleasant Prairie,Pleasant Prairie village,21250
5211600US550105966125,5.50106E+11,55,59,66125,1,33827997,1697455,Randall,Randall town,3285
5211600US550105971163,5.50106E+11,55,59,71163,1,78949274,7270822,Salem Lakes,Salem Lakes village,14601
5211600US550105974625,5.50106E+11,55,59,74625,1,65491187,43631,Somers,Somers village,8402
5211600US550105974650,5.50106E+11,55,59,74650,1,7117143,0,Somers,Somers town,992
5211600US550105981250,5.50106E+11,55,59,81250,1,22100365,4064458,Twin Lakes,Twin Lakes village,6309
5211600US550105986500,5.50106E+11,55,59,86500,1,61306720,1004886,Wheatland,Wheatland town,3391
5211600US550107927300,5.50108E+11,55,79,27300,1,89548136,271953,Franklin,Franklin city,36816
5211600US550107931125,5.50108E+11,55,79,31125,1,14414516,22101,Greendale,Greendale village,14854
5211600US550107932075,5.50108E+11,55,79,32075,1,8266578,15882,Hales Corners,Hales Corners village,7720
5211600US550107958800,5.50108E+11,55,79,58800,1,73678665,0,Oak Creek,Oak Creek city,36497
5211600US550110100000,5.5011E+11,55,101,0,1,0,1169746395,County subdivisions not defined,County subdivisions not defined,0
5211600US550110111200,5.5011E+11,55,101,11200,1,19333866,654839,Burlington,Burlington city,11047
5211600US550110111225,5.5011E+11,55,101,11225,1,85142652,3491674,Burlington,Burlington town,6465
5211600US550110111950,5.5011E+11,55,101,11950,1,117133545,757465,Caledonia,Caledonia village,25361
5211600US550110120625,5.5011E+11,55,101,20625,1,91299780,2288764,Dover,Dover town,4282
5211600US550110123725,5.5011E+11,55,101,23725,1,390106,5220,Elmwood Park,Elmwood Park village,510
5211600US550110154875,5.5011E+11,55,101,54875,1,87758012,394375,Mount Pleasant,Mount Pleasant village,27732
5211600US550110157700,5.5011E+11,55,101,57700,1,272983,289,North Bay,North Bay village,209
5211600US550110158600,5.5011E+11,55,101,58600,1,87314897,5091258,Norway,Norway town,7916
5211600US550110166000,5.5011E+11,55,101,66000,1,40080067,479586,Racine,Racine city,77816
5211600US550110166350,5.5011E+11,55,101,66350,1,92353020,353972,Raymond,Raymond village,3926
5211600US550110168550,5.5011E+11,55,101,68550,1,45116280,596773,Rochester,Rochester village,3785
5211600US550110177925,5.5011E+11,55,101,77925,1,10629978,3250,Sturtevant,Sturtevant village,6919
5211600US550110181775,5.5011E+11,55,101,81775,1,6721077,0,Union Grove,Union Grove village,4806
5211600US550110183825,5.5011E+11,55,101,83825,1,6325018,284597,Waterford,Waterford village,5542
5211600US550110183850,5.5011E+11,55,101,83850,1,81649021,5579293,Waterford,Waterford town,6514
5211600US550110187700,5.5011E+11,55,101,87700,1,3277980,65720,Wind Point,Wind Point village,1651
5211600US550110189550,5.5011E+11,55,101,89550,1,86739336,309543,Yorkville,Yorkville village,3246
5211600US550110506500,5.50111E+11,55,105,6500,1,49326,0,Beloit,Beloit city (part),0
5211600US550110509175,5.50111E+11,55,105,9175,1,93315280,466382,Bradford,Bradford town,1013
5211600US550110515625,5.50111E+11,55,105,15625,1,3708856,0,Clinton,Clinton village,2221
5211600US550110515650,5.50111E+11,55,105,15650,1,91319890,49750,Clinton,Clinton town,889
5211600US550110532700,5.50111E+11,55,105,32700,1,49473908,143028,Harmony,Harmony town (part),1776
5211600US550110537825,5.50111E+11,55,105,37825,1,87719863,1558282,Janesville,Janesville city (part),65607
5211600US550110537850,5.50111E+11,55,105,37850,1,4609081,122271,Janesville,Janesville town (part),339
5211600US550110538450,5.50111E+11,55,105,38450,1,93355562,150575,Johnstown,Johnstown town,766
5211600US550110542575,5.50111E+11,55,105,42575,1,76453484,91458,La Prairie,La Prairie town (part),567
5211600US550110544125,5.50111E+11,55,105,44125,1,93794518,631390,Lima,Lima town,1271
5211600US550110552200,5.50111E+11,55,105,52200,1,11033407,44562,Milton,Milton city,5716
5211600US550110552225,5.50111E+11,55,105,52225,1,27656934,382357,Milton,Milton town (part),715
5211600US550110568600,5.50111E+11,55,105,68600,1,4737213,95514,Rock,Rock town (part),378
5211600US550110581050,5.50111E+11,55,105,81050,1,58738461,216015,Turtle,Turtle town (part),1320
5211600US550112708265,5.50113E+11,55,127,8265,1,32385750,1284483,Bloomfield,Bloomfield village,4781
5211600US550112708275,5.50113E+11,55,127,8275,1,50640402,869402,Bloomfield,Bloomfield town,1778
5211600US550112711200,5.50113E+11,55,127,11200,1,648685,0,Burlington,Burlington city,0
5211600US550112718825,5.50113E+11,55,127,18825,1,3342754,0,Darien,Darien village,1573
5211600US550112718850,5.50113E+11,55,127,18850,1,87756876,150441,Darien,Darien town,1651
5211600US550112719450,5.50113E+11,55,127,19450,1,18048266,1188316,Delavan,Delavan city,8505
5211600US550112719475,5.50113E+11,55,127,19475,1,64092826,7360638,Delavan,Delavan town,5273
5211600US550112722100,5.50113E+11,55,127,22100,1,11721615,109937,East Troy,East Troy village,4687
5211600US550112722125,5.50113E+11,55,127,22125,1,71829570,4619240,East Troy,East Troy town,3992
5211600US550112723300,5.50113E+11,55,127,23300,1,20882546,113585,Elkhorn,Elkhorn city,10247
5211600US550112726350,5.50113E+11,55,127,26350,1,8673498,96890,Fontana-on-Geneva Lake,Fontana-on-Geneva Lake village,3120
5211600US550112728550,5.50113E+11,55,127,28550,1,74083431,3966759,Geneva,Geneva town,5390
5211600US550112728675,5.50113E+11,55,127,28675,1,6275379,0,Genoa City,Genoa City village,2977
5211600US550112740950,5.50113E+11,55,127,40950,1,88463133,108616,Lafayette,Lafayette town,2039
5211600US550112741050,5.50113E+11,55,127,41050,1,88931259,3622054,La Grange,La Grange town,2472
5211600US550112741450,5.50113E+11,55,127,41450,1,17763258,22840,Lake Geneva,Lake Geneva city,8277
5211600US550112744750,5.50113E+11,55,127,44750,1,70859248,17134036,Linn,Linn town,2687
5211600US550112746725,5.50113E+11,55,127,46725,1,88679826,524333,Lyons,Lyons town,3648
5211600US550112755050,5.50113E+11,55,127,55050,1,4677425,0,Mukwonago,Mukwonago village,222
5211600US550112767725,5.50113E+11,55,127,67725,1,91565547,1629362,Richmond,Richmond town,1901
5211600US550112772875,5.50113E+11,55,127,72875,1,4470520,0,Sharon,Sharon village,1586
5211600US550112772900,5.50113E+11,55,127,72900,1,90066767,14748,Sharon,Sharon town,861
5211600US550112776175,5.50113E+11,55,127,76175,1,92683732,80027,Spring Prairie,Spring Prairie town,2123
5211600US550112778100,5.50113E+11,55,127,78100,1,85564689,1903557,Sugar Creek,Sugar Creek town,3902
5211600US550112780875,5.50113E+11,55,127,80875,1,90164568,1819349,Troy,Troy town,2355
5211600US550112783250,5.50113E+11,55,127,83250,1,4459954,0,Walworth,Walworth village,2759
5211600US550112783275,5.50113E+11,55,127,83275,1,72813647,4941221,Walworth,Walworth town,1565
5211600US550112786925,5.50113E+11,55,127,86925,1,521,0,Whitewater,Whitewater city (part),0
5211600US550112786950,5.50113E+11,55,127,86950,1,73666746,2596242,Whitewater,Whitewater town (part),1343
5211600US550112787200,5.50113E+11,55,127,87200,1,7199498,0,Williams Bay,Williams Bay village,2953
5211600US550113307200,5.50113E+11,55,133,7200,1,8419839,117922,Big Bend,Big Bend village,1483
5211600US550113320550,5.50113E+11,55,133,20550,1,6469759,338904,Dousman,Dousman village (part),2411
5211600US550113321425,5.50113E+11,55,133,21425,1,3602756,2551,Eagle,Eagle village,2071
5211600US550113321450,5.50113E+11,55,133,21450,1,87853733,2324903,Eagle,Eagle town,3478
5211600US550113328487,5.50113E+11,55,133,28487,1,78510929,1296936,Genesee,Genesee town,7171
5211600US550113355050,5.50113E+11,55,133,55050,1,16118003,517201,Mukwonago,Mukwonago village,8040
5211600US550113355075,5.50113E+11,55,133,55075,1,76275906,3860683,Mukwonago,Mukwonago town,7781
5211600US550113355275,5.50113E+11,55,133,55275,1,81846169,11322022,Muskego,Muskego city,25032
5211600US550113356375,5.50113E+11,55,133,56375,1,17688635,163516,New Berlin,New Berlin city (part),6828
5211600US550113358400,5.50113E+11,55,133,58400,1,7128877,64588,North Prairie,North Prairie village,2202
5211600US550113360700,5.50113E+11,55,133,60700,1,84859555,3026323,Ottawa,Ottawa town,3646
5211600US550113382575,5.50113E+11,55,133,82575,1,77646793,2705009,Vernon,Vernon town,7474
5211600US550113383175,5.50113E+11,55,133,83175,1,8354564,14237,Wales,Wales village,2862
5211600US550113384250,5.50113E+11,55,133,84250,1,1605096,2246,Waukesha,Waukesha city (part),66
5211600US550113384275,5.50113E+11,55,133,84275,1,49210595,605739,Waukesha,Waukesha town (part),6897
5211600US550202500875,5.50203E+11,55,25,875,2,90289504,2156250,Albion,Albion town,2069
5211600US550202506300,5.50203E+11,55,25,6300,2,3723127,567256,Belleville,Belleville village,1909
5211600US550202507025,5.50203E+11,55,25,7025,2,92356590,468045,Berry,Berry town,1168
5211600US550202507800,5.50203E+11,55,25,7800,2,2186924,29072,Black Earth,Black Earth village,1493
5211600US550202507825,5.50203E+11,55,25,7825,2,44227418,90929,Black Earth,Black Earth town,510
5211600US550202508350,5.50203E+11,55,25,8350,2,11023923,3644738,Blooming Grove,Blooming Grove town,1622
5211600US550202508475,5.50203E+11,55,25,8475,2,2281799,0,Blue Mounds,Blue Mounds village,948
5211600US550202508500,5.50203E+11,55,25,8500,2,84091214,27854,Blue Mounds,Blue Mounds town,899
5211600US550202509775,5.50203E+11,55,25,9775,2,86575310,606968,Bristol,Bristol town,4447
5211600US550202510075,5.50203E+11,55,25,10075,2,1426941,12276,Brooklyn,Brooklyn village,1026
5211600US550202511150,5.50203E+11,55,25,11150,2,37410237,300266,Burke,Burke town,3265
5211600US550202512225,5.50203E+11,55,25,12225,2,3393511,18062,Cambridge,Cambridge village,1539
5211600US550202514650,5.50203E+11,55,25,14650,2,89525611,728175,Christiana,Christiana town,1235
5211600US550202517175,5.50203E+11,55,25,17175,2,12148072,0,Cottage Grove,Cottage Grove village,7303
5211600US550202517200,5.50203E+11,55,25,17200,2,80896346,121752,Cottage Grove,Cottage Grove town,3791
5211600US550202517775,5.50203E+11,55,25,17775,2,4663347,0,Cross Plains,Cross Plains village,4104
5211600US550202517800,5.50203E+11,55,25,17800,2,89918792,400559,Cross Plains,Cross Plains town,1494
5211600US550202518700,5.50203E+11,55,25,18700,2,3065378,20674,Dane,Dane village,1117
5211600US550202518725,5.50203E+11,55,25,18725,2,90220185,416760,Dane,Dane town,934
5211600US550202519250,5.50203E+11,55,25,19250,2,5609503,0,Deerfield,Deerfield village,2507
5211600US550202519275,5.50203E+11,55,25,19275,2,86572092,491962,Deerfield,Deerfield town,1684
5211600US550202519350,5.50203E+11,55,25,19350,2,22009494,188933,DeForest,DeForest village,10811
5211600US550202521100,5.50203E+11,55,25,21100,2,80200605,1230448,Dunkirk,Dunkirk town,1881
5211600US550202521125,5.50203E+11,55,25,21125,2,71741097,16062378,Dunn,Dunn town,4880
5211600US550202522575,5.50203E+11,55,25,22575,2,1381780,3094,Edgerton,Edgerton city,146
5211600US550202525950,5.50203E+11,55,25,25950,2,90441585,617347,Fitchburg,Fitchburg city,29609
5211600US550202546850,5.50203E+11,55,25,46850,2,12326646,17336,McFarland,McFarland village,8991
5211600US550202548000,5.50203E+11,55,25,48000,2,206086955,55411136,Madison,Madison city,269840
5211600US550202548025,5.50203E+11,55,25,48025,2,3756956,30195,Madison,Madison town,6236
5211600US550202548750,5.50203E+11,55,25,48750,2,1816338,3967,Maple Bluff,Maple Bluff village,1368
5211600US550202549575,5.50203E+11,55,25,49575,2,5502873,431820,Marshall,Marshall village,3787
5211600US550202550225,5.50203E+11,55,25,50225,2,4551214,61521,Mazomanie,Mazomanie village,1768
5211600US550202550250,5.50203E+11,55,25,50250,2,75403964,2033444,Mazomanie,Mazomanie town,1074
5211600US550202550475,5.50203E+11,55,25,50475,2,85399542,833597,Medina,Medina town,1344
5211600US550202551575,5.50203E+11,55,25,51575,2,23141164,348827,Middleton,Middleton city,21827
5211600US550202551600,5.50203E+11,55,25,51600,2,38200736,45085,Middleton,Middleton town,6792
5211600US550202553675,5.50203E+11,55,25,53675,2,8441314,237128,Monona,Monona city,8624
5211600US550202554100,5.50203E+11,55,25,54100,2,87593989,524207,Montrose,Montrose town,1064
5211600US550202554725,5.50203E+11,55,25,54725,2,8353849,0,Mount Horeb,Mount Horeb village,7754
5211600US550202560200,5.50203E+11,55,25,60200,2,11626106,0,Oregon,Oregon village,11179
5211600US550202560225,5.50203E+11,55,25,60225,2,79772262,362896,Oregon,Oregon town,3125
5211600US550202562050,5.50203E+11,55,25,62050,2,93385974,0,Perry,Perry town,737
5211600US550202563375,5.50203E+11,55,25,63375,2,84261967,5985310,Pleasant Springs,Pleasant Springs town,3078
5211600US550202565575,5.50203E+11,55,25,65575,2,92672369,27313,Primrose,Primrose town,750
5211600US550202568725,5.50203E+11,55,25,68725,2,727506,43604,Rockdale,Rockdale village,207
5211600US550202569850,5.50203E+11,55,25,69850,2,88777632,4127684,Roxbury,Roxbury town,1871
5211600US550202570400,5.50203E+11,55,25,70400,2,89276902,1513696,Rutland,Rutland town,1977
5211600US550202573750,5.50203E+11,55,25,73750,2,2061101,0,Shorewood Hills,Shorewood Hills village,2169
5211600US550202575850,5.50203E+11,55,25,75850,2,91550211,40005,Springdale,Springdale town,2056
5211600US550202575875,5.50203E+11,55,25,75875,2,93069182,574465,Springfield,Springfield town,2929
5211600US550202577675,5.50203E+11,55,25,77675,2,15583338,863189,Stoughton,Stoughton city,13173
5211600US550202578600,5.50203E+11,55,25,78600,2,33435031,55500,Sun Prairie,Sun Prairie city,35967
5211600US550202578625,5.50203E+11,55,25,78625,2,76652575,0,Sun Prairie,Sun Prairie town,2391
5211600US550202582525,5.50203E+11,55,25,82525,2,92872389,9576,Vermont,Vermont town,871
5211600US550202582600,5.50203E+11,55,25,82600,2,19381983,184993,Verona,Verona city,14030
