GEOID,GEOCODE,STATE,CD116,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
5701600US550100052,550100052,55,1,52,,,26299929,2369563,Trevor-Wilmot Consolidated School District,Trevor-Wilmot Consolidated School District,3859
5701600US550101650,550101650,55,1,1650,,,86854456,505856,Brighton No. 1 School District,Brighton No. 1 School District,1291
5701600US550101710,550101710,55,1,1710,,,86970017,627167,Bristol No. 1 School District,Bristol No. 1 School District,5963
5701600US550103750,550103750,55,1,3750,,,28712859,57787,Dover No. 1 School District,Dover No. 1 School District,1943
5701600US550104720,550104720,55,1,4720,,,28043557,998410,Fontana Joint No. 8 School District,Fontana Joint No. 8 School District,3962
5701600US550105100,550105100,55,1,5100,,,10571483,0,Geneva Joint No. 4 School District,Geneva Joint No. 4 School District,1105
5701600US550105130,550105130,55,1,5130,,,46535679,898563,Genoa City Joint No. 2 School District,Genoa City Joint No. 2 School District,5068
5701600US550107620,550107620,55,1,7620,,,136227056,1679737,Lake Geneva Joint No. 1 School District,Lake Geneva Joint No. 1 School District,18339
5701600US550108040,550108040,55,1,8040,,,36472524,39134,Linn Joint No. 4 School District,Linn Joint No. 4 School District,1003
5701600US550108070,550108070,55,1,8070,,,41137157,2397,Linn Joint No. 6 School District,Linn Joint No. 6 School District,1295
5701600US550110800,550110800,55,1,10800,,,21058068,32878,Norway Joint No. 7 School District,Norway Joint No. 7 School District,839
5701600US550111400,550111400,55,1,11400,,,92980403,6123,Paris Joint No. 1 School District,Paris Joint No. 1 School District,1668
5701600US550112390,550112390,55,1,12390,,,42881698,1697455,Randall Joint No. 1 School District,Randall Joint No. 1 School District,5683
5701600US550112480,550112480,55,1,12480,,,80655156,340856,Raymond No. 14 School District,Raymond No. 14 School District,3389
5701600US550112510,550112510,55,1,12510,,,53146842,153504,North Cape School District,North Cape School District,1918
5701600US550113350,550113350,55,1,13350,,,44379686,2570882,Salem School District,Salem School District,9482
5701600US550113560,550113560,55,1,13560,,,51136895,0,Sharon Joint No. 11 School District,Sharon Joint No. 11 School District,1975
5701600US550113860,550113860,55,1,13860,,,10239310,2920956,Silver Lake Joint No. 1 School District,Silver Lake Joint No. 1 School District,4000
5701600US550115090,550115090,55,1,15090,,,6755705,4064458,Twin Lakes No. 4 School District,Twin Lakes No. 4 School District,3708
5701600US550115180,550115180,55,1,15180,,,25277969,33319,Union Grove Joint No. 1 School District,Union Grove Joint No. 1 School District,5269
5701600US550115450,550115450,55,1,15450,,,69894569,146130,Walworth Joint No. 1 School District,Walworth Joint No. 1 School District,3850
5701600US550115660,550115660,55,1,15660,,,120608186,5364001,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District,14230
5701600US550115700,550115700,55,1,15700,,,22214322,1064357,Washington-Caldwell School District,Washington-Caldwell School District,1934
5701600US550116560,550116560,55,1,16560,,,80354299,1282272,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District,4168
5701600US550117220,550117220,55,1,17220,,,76907328,276224,Yorkville Joint No. 2 School District,Yorkville Joint No. 2 School District,2963
5701600US550199999,550199999,55,1,99999,,,3149153740,2496613447,1,Remainder of Congressional District 1,618548
5701600US550299999,550299999,55,2,99999,,,11750545987,188998048,2,Congressional District 2,789393
5701600US550399999,550399999,55,3,99999,,,28794049224,815067592,3,Congressional District 3,733584
5701600US550404770,550404770,55,4,4770,,,213398,0,Maple Dale-Indian Hill School District,Maple Dale-Indian Hill School District (part),182
5701600US550404800,550404800,55,4,4800,,,13235377,0,Fox Point Joint No. 2 School District,Fox Point Joint No. 2 School District (part),11222
5701600US550405460,550405460,55,4,5460,,,14716640,519005,Glendale-River Hills School District,Glendale-River Hills School District,13175
5701600US550499999,550499999,55,4,99999,,,304448258,2454035515,4,Remainder of Congressional District 4,670816
5701600US550500013,550500013,55,5,13,,,22445796,3797501,Lake Country School District,Lake Country School District,4401
5701600US550500075,550500075,55,5,75,,,209386387,1594825,Herman-Neosho-Rubicon School District,Herman-Neosho-Rubicon School District (part),4772
5701600US550500080,550500080,55,5,80,,,64493373,1034488,Holy Hill Area School District,Holy Hill Area School District,6926
5701600US550504410,550504410,55,5,4410,,,59503107,861745,Erin School District,Erin School District,2519
5701600US550506090,550506090,55,5,6090,,,129495908,2231178,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District,19001
