GEOID,GEOCODE,STATE,COUNTY,TRACT,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100,county_name
5111600US5501059000101,5.50106E+12,55,59,101,1,2067281,2268715,1.01,Census Tract 1.01,1793,Kenosha
5111600US5501059000102,5.50106E+12,55,59,102,1,10014453,0,1.02,Census Tract 1.02,3863,Kenosha
5111600US5501059000300,5.50106E+12,55,59,300,1,2618446,2242159,3,Census Tract 3,5167,Kenosha
5111600US5501059000400,5.50106E+12,55,59,400,1,2145586,0,4,Census Tract 4,3603,Kenosha
5111600US5501059000501,5.50106E+12,55,59,501,1,1242120,0,5.01,Census Tract 5.01,2794,Kenosha
5111600US5501059000502,5.50106E+12,55,59,502,1,1760918,0,5.02,Census Tract 5.02,2713,Kenosha
5111600US5501059000601,5.50106E+12,55,59,601,1,69344437,89863,6.01,Census Tract 6.01,6496,Kenosha
5111600US5501059000603,5.50106E+12,55,59,603,1,4325328,0,6.03,Census Tract 6.03,3779,Kenosha
5111600US5501059000604,5.50106E+12,55,59,604,1,3618543,0,6.04,Census Tract 6.04,3898,Kenosha
5111600US5501059000700,5.50106E+12,55,59,700,1,4693870,0,7,Census Tract 7,5369,Kenosha
5111600US5501059000800,5.50106E+12,55,59,800,1,1296109,0,8,Census Tract 8,2763,Kenosha
5111600US5501059000900,5.50106E+12,55,59,900,1,1374881,0,9,Census Tract 9,4058,Kenosha
5111600US5501059001000,5.50106E+12,55,59,1000,1,1248159,398481,10,Census Tract 10,2623,Kenosha
5111600US5501059001100,5.50106E+12,55,59,1100,1,870635,0,11,Census Tract 11,3502,Kenosha
5111600US5501059001200,5.50106E+12,55,59,1200,1,1788284,0,12,Census Tract 12,4020,Kenosha
5111600US5501059001300,5.50106E+12,55,59,1300,1,1837615,0,13,Census Tract 13,3981,Kenosha
5111600US5501059001401,5.50106E+12,55,59,1401,1,1319119,0,14.01,Census Tract 14.01,2612,Kenosha
5111600US5501059001402,5.50106E+12,55,59,1402,1,2397859,0,14.02,Census Tract 14.02,4570,Kenosha
5111600US5501059001500,5.50106E+12,55,59,1500,1,1406090,0,15,Census Tract 15,3709,Kenosha
5111600US5501059001600,5.50106E+12,55,59,1600,1,947332,0,16,Census Tract 16,3350,Kenosha
5111600US5501059001700,5.50106E+12,55,59,1700,1,1078574,14048,17,Census Tract 17,2697,Kenosha
5111600US5501059001800,5.50106E+12,55,59,1800,1,1021641,0,18,Census Tract 18,2201,Kenosha
5111600US5501059001900,5.50106E+12,55,59,1900,1,1469783,1265517,19,Census Tract 19,2351,Kenosha
5111600US5501059002000,5.50106E+12,55,59,2000,1,19488183,3193405,20,Census Tract 20,5731,Kenosha
5111600US5501059002100,5.50106E+12,55,59,2100,1,2369536,0,21,Census Tract 21,4983,Kenosha
5111600US5501059002200,5.50106E+12,55,59,2200,1,1491079,0,22,Census Tract 22,3570,Kenosha
5111600US5501059002300,5.50106E+12,55,59,2300,1,4573224,0,23,Census Tract 23,5706,Kenosha
5111600US5501059002400,5.50106E+12,55,59,2400,1,3895062,0,24,Census Tract 24,4644,Kenosha
5111600US5501059002500,5.50106E+12,55,59,2500,1,5747257,0,25,Census Tract 25,3352,Kenosha
5111600US5501059002603,5.50106E+12,55,59,2603,1,3820145,0,26.03,Census Tract 26.03,4909,Kenosha
5111600US5501059002604,5.50106E+12,55,59,2604,1,5219830,64460,26.04,Census Tract 26.04,3939,Kenosha
5111600US5501059002605,5.50106E+12,55,59,2605,1,40393995,733462,26.05,Census Tract 26.05,5916,Kenosha
5111600US5501059002606,5.50106E+12,55,59,2606,1,14525534,0,26.06,Census Tract 26.06,4624,Kenosha
5111600US5501059002700,5.50106E+12,55,59,2700,1,92778028,946783,27,Census Tract 27,6533,Kenosha
5111600US5501059002801,5.50106E+12,55,59,2801,1,62310291,1004886,28.01,Census Tract 28.01,3410,Kenosha
5111600US5501059002802,5.50106E+12,55,59,2802,1,184909020,541055,28.02,Census Tract 28.02,2803,Kenosha
5111600US5501059002903,5.50106E+12,55,59,2903,1,20237874,2478146,29.03,Census Tract 29.03,3197,Kenosha
5111600US5501059002904,5.50106E+12,55,59,2904,1,34766052,2961877,29.04,Census Tract 29.04,5300,Kenosha
5111600US5501059002905,5.50106E+12,55,59,2905,1,10280452,998000,29.05,Census Tract 29.05,3776,Kenosha
5111600US5501059002906,5.50106E+12,55,59,2906,1,20850690,1352072,29.06,Census Tract 29.06,5247,Kenosha
5111600US5501059003001,5.50106E+12,55,59,3001,1,19026240,3836381,30.01,Census Tract 30.01,4541,Kenosha
5111600US5501059003002,5.50106E+12,55,59,3002,1,37484897,1925532,30.02,Census Tract 30.02,5058,Kenosha
