GEOID,GEOCODE,STATE,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
610U600US55001,55001,55,1,3903201282,7110305992,1,State Senate District 1,184304
610U600US55002,55002,55,2,3624154320,50991703,2,State Senate District 2,183553
610U600US55003,55003,55,3,59340966,172273,3,State Senate District 3,170693
610U600US55004,55004,55,4,100579341,1758823,4,State Senate District 4,163208
610U600US55005,55005,55,5,196247887,1759177,5,State Senate District 5,179060
610U600US55006,55006,55,6,50656914,119154,6,State Senate District 6,162069
610U600US55007,55007,55,7,150298944,1407373067,7,State Senate District 7,177968
610U600US55008,55008,55,8,630607241,1052675334,8,State Senate District 8,182248
610U600US55009,55009,55,9,2060973176,4286696445,9,State Senate District 9,175990
610U600US55010,55010,55,10,5368032603,189279665,10,State Senate District 10,183755
610U600US55011,55011,55,11,2583016251,69981770,11,State Senate District 11,177839
610U600US55012,55012,55,12,20324800445,1027393212,12,State Senate District 12,174947
610U600US55013,55013,55,13,3084349468,78817147,13,State Senate District 13,181020
610U600US55014,55014,55,14,7855631470,281807455,14,State Senate District 14,173203
610U600US55015,55015,55,15,2375990198,69725929,15,State Senate District 15,175730
610U600US55016,55016,55,16,569656953,29192214,16,State Senate District 16,192492
610U600US55017,55017,55,17,11240277027,230648090,17,State Senate District 17,173532
610U600US55018,55018,55,18,1568872714,338125632,18,State Senate District 18,175838
610U600US55019,55019,55,19,827566608,144572470,19,State Senate District 19,184473
610U600US55020,55020,55,20,2543863373,2357570008,20,State Senate District 20,176570
610U600US55021,55021,55,21,1274445242,2427297606,21,State Senate District 21,178202
610U600US55022,55022,55,22,134028881,4184119,22,State Senate District 22,171119
610U600US55023,55023,55,23,9185726424,141082547,23,State Senate District 23,179543
610U600US55024,55024,55,24,7436391248,224247554,24,State Senate District 24,173811
610U600US55025,55025,55,25,21786871154,6063660730,25,State Senate District 25,176268
610U600US55026,55026,55,26,111546344,53897642,26,State Senate District 26,201819
610U600US55027,55027,55,27,4213849242,81353188,27,State Senate District 27,195505
610U600US55028,55028,55,28,516476825,21483462,28,State Senate District 28,177495
610U600US55029,55029,55,29,10713149343,346631810,29,State Senate District 29,176184
610U600US55030,55030,55,30,1484930308,764965420,30,State Senate District 30,180949
610U600US55031,55031,55,31,8109446038,232674567,31,State Senate District 31,179398
610U600US55032,55032,55,32,5606687138,211818041,32,State Senate District 32,179156
610U600US55033,55033,55,33,600581316,41459404,33,State Senate District 33,175777
