GEOID,GEOCODE,STATE,COUNTY,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
612U600US55001009,55001009,55,9,1,739625634,120178809,Brown,Brown County (part),48257
612U600US55001015,55001015,55,15,1,376653507,154887231,Calumet,Calumet County (part),37893
612U600US55001029,55001029,55,29,1,1248277424,4890604607,Door,Door County,30066
612U600US55001061,55001061,55,61,1,886951790,1921336270,Kewaunee,Kewaunee County,20563
612U600US55001071,55001071,55,71,1,593835683,20763312,Manitowoc,Manitowoc County (part),23228
612U600US55001087,55001087,55,87,1,57857244,2535763,Outagamie,Outagamie County (part),24297
612U600US55002009,55002009,55,9,2,268164396,3191524,Brown,Brown County (part),79712
612U600US55002083,55002083,55,83,2,889323,95476,Oconto,Oconto County (part),0
612U600US55002087,55002087,55,87,2,1302555616,13652467,Outagamie,Outagamie County (part),62378
612U600US55002115,55002115,55,115,2,1755121266,31802015,Shawano,Shawano County (part),33238
612U600US55002135,55002135,55,135,2,297423719,2250221,Waupaca,Waupaca County (part),8225
612U600US55003079,55003079,55,79,3,59340966,172273,Milwaukee,Milwaukee County (part),170693
612U600US55004079,55004079,55,79,4,100579341,1758823,Milwaukee,Milwaukee County (part),163208
612U600US55005079,55005079,55,79,5,64498310,89563,Milwaukee,Milwaukee County (part),103789
612U600US55005133,55005133,55,133,5,131749577,1669614,Waukesha,Waukesha County (part),75271
612U600US55006079,55006079,55,79,6,50656914,119154,Milwaukee,Milwaukee County (part),162069
612U600US55007079,55007079,55,79,7,150298944,1407373067,Milwaukee,Milwaukee County (part),177968
612U600US55008079,55008079,55,79,8,58546239,1045551330,Milwaukee,Milwaukee County (part),54015
612U600US55008089,55008089,55,89,8,181331933,2708349,Ozaukee,Ozaukee County (part),44970
612U600US55008131,55008131,55,131,8,235412842,2494358,Washington,Washington County (part),32049
612U600US55008133,55008133,55,133,8,155316227,1921297,Waukesha,Waukesha County (part),51214
612U600US55009015,55009015,55,15,9,264487240,2551295,Calumet,Calumet County (part),8491
612U600US55009071,55009071,55,71,9,932460285,2322580869,Manitowoc,Manitowoc County (part),58131
612U600US55009117,55009117,55,117,9,864025651,1961564281,Sheboygan,Sheboygan County (part),109368
612U600US55010013,55010013,55,13,10,963944481,48949891,Burnett,Burnett County (part),9891
612U600US55010033,55010033,55,33,10,423202682,5468763,Dunn,Dunn County (part),24143
612U600US55010093,55010093,55,93,10,123813081,335131,Pierce,Pierce County (part),14761
612U600US55010095,55010095,55,95,10,2085072777,101636280,Polk,Polk County (part),42073
612U600US55010109,55010109,55,109,10,1771999582,32889600,St. Croix,St. Croix County (part),92887
612U600US55011055,55011055,55,55,11,509257296,9801893,Jefferson,Jefferson County (part),32997
612U600US55011059,55011059,55,59,11,61900692,1007898,Kenosha,Kenosha County (part),3396
612U600US55011101,55011101,55,101,11,7564652,611587,Racine,Racine County (part),2105
612U600US55011105,55011105,55,105,11,542760338,1625007,Rock,Rock County (part),27834
612U600US55011127,55011127,55,127,11,1308943136,51323970,Walworth,Walworth County (part),92518
612U600US55011133,55011133,55,133,11,152590137,5611415,Waukesha,Waukesha County (part),18989
612U600US55012037,55012037,55,37,12,1264232456,24111637,Florence,Florence County,4558
612U600US55012041,55012041,55,41,12,2626878527,83594162,Forest,Forest County,9179
612U600US55012067,55012067,55,67,12,2255098142,44277570,Langlade,Langlade County,19491
612U600US55012069,55012069,55,69,12,2275832535,72745054,Lincoln,Lincoln County,28415
612U600US55012073,55012073,55,73,12,482382262,187802,Marathon,Marathon County (part),3421
612U600US55012075,55012075,55,75,12,3123046317,70733204,Marinette,Marinette County (part),19101
612U600US55012078,55012078,55,78,12,926217566,19022479,Menominee,Menominee County,4255
612U600US55012083,55012083,55,83,12,1964338814,44561743,Oconto,Oconto County (part),21558
612U600US55012085,55012085,55,85,12,2885102826,317602310,Oneida,Oneida County,37845
612U600US55012115,55012115,55,115,12,557079738,10081044,Shawano,Shawano County (part),7629
612U600US55012125,55012125,55,125,12,1964591262,340476207,Vilas,Vilas County (part),19495
612U600US55013021,55013021,55,21,13,10914079,89325,Columbia,Columbia County (part),5549
612U600US55013025,55013025,55,25,13,508759104,3502551,Dane,Dane County (part),29150
612U600US55013027,55013027,55,27,13,1686414722,44739326,Dodge,Dodge County (part),70788
612U600US55013055,55013055,55,55,13,735608776,16267889,Jefferson,Jefferson County (part),43788
612U600US55013131,55013131,55,131,13,6626804,120955,Washington,Washington County (part),2904
612U600US55013133,55013133,55,133,13,136025983,14097101,Waukesha,Waukesha County (part),28841
612U600US55014001,55014001,55,1,14,855850873,32506984,Adams,Adams County (part),13128
612U600US55014021,55014021,55,21,14,1537253024,43279838,Columbia,Columbia County (part),36955
612U600US55014025,55014025,55,25,14,124911646,575051,Dane,Dane County (part),4474
612U600US55014027,55014027,55,27,14,575342859,36592075,Dodge,Dodge County (part),10813
