GEOID,GEOCODE,STATE,COUNTY,COUSUB,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
613U600US5500100919700,5.5001E+12,55,9,19700,1,5102528,0,Denmark,Denmark village,2408
613U600US5500100919775,5.5001E+12,55,9,19775,1,23305870,2099075,De Pere,De Pere city (part),14677
613U600US5500100922225,5.5001E+12,55,9,22225,1,62572427,466619,Eaton,Eaton town,1662
613U600US5500100929550,5.5001E+12,55,9,29550,1,8078,0,Glenmore,Glenmore town (part),0
613U600US5500100931000,5.5001E+12,55,9,31000,1,4193094,0,Green Bay,Green Bay city (part),21
613U600US5500100931025,5.5001E+12,55,9,31025,1,57271851,22688083,Green Bay,Green Bay town,2197
613U600US5500100935325,5.5001E+12,55,9,35325,1,93197660,3404,Holland,Holland town,1559
613U600US5500100936425,5.5001E+12,55,9,36425,1,62251046,0,Humboldt,Humboldt town,1299
613U600US5500100942900,5.5001E+12,55,9,42900,1,39635849,1664293,Lawrence,Lawrence town,6306
613U600US5500100943090,5.5001E+12,55,9,43090,1,14412291,404073,Ledgeview,Ledgeview town (part),3993
613U600US5500100954300,5.5001E+12,55,9,54300,1,94005174,345643,Morrison,Morrison town,1689
613U600US5500100956575,5.5001E+12,55,9,56575,1,88332474,641634,New Denmark,New Denmark town,1562
613U600US5500100968875,5.5001E+12,55,9,68875,1,54982470,1349479,Rockland,Rockland town,1775
613U600US5500100972200,5.5001E+12,55,9,72200,1,47138273,89445944,Scott,Scott town,3636
613U600US5500100989150,5.5001E+12,55,9,89150,1,8374321,533448,Wrightstown,Wrightstown village,2895
613U600US5500100989175,5.5001E+12,55,9,89175,1,84842228,537114,Wrightstown,Wrightstown town,2578
613U600US5500101502375,5.5001E+12,55,15,2375,1,8534443,73697,Appleton,Appleton city,11304
613U600US5500101509725,5.5001E+12,55,15,9725,1,7361237,52676,Brillion,Brillion city,3262
613U600US5500101509750,5.5001E+12,55,15,9750,1,85337873,341146,Brillion,Brillion town,1650
613U600US5500101532790,5.5001E+12,55,15,32790,1,82549544,182833,Harrison,Harrison village,12418
613U600US5500101532800,5.5001E+12,55,15,32800,1,24739,67353876,Harrison,Harrison town,0
613U600US5500101538800,5.5001E+12,55,15,38800,1,38345,0,Kaukauna,Kaukauna city,0
613U600US5500101550825,5.5001E+12,55,15,50825,1,3971112,162105,Menasha,Menasha city,3007
613U600US5500101573525,5.5001E+12,55,15,73525,1,8963111,146633,Sherwood,Sherwood village,3271
613U600US5500101577400,5.5001E+12,55,15,77400,1,8413081,21894,Stockbridge,Stockbridge village,678
613U600US5500101577425,5.5001E+12,55,15,77425,1,87005351,86449651,Stockbridge,Stockbridge town,1453
613U600US5500101589000,5.5001E+12,55,15,89000,1,84454671,102720,Woodville,Woodville town (part),850
613U600US5500102904325,5.5001E+12,55,29,4325,1,76417645,608851195,Baileys Harbor,Baileys Harbor town,1223
613U600US5500102910700,5.5001E+12,55,29,10700,1,93322345,87889,Brussels,Brussels town,1125
613U600US5500102915025,5.5001E+12,55,29,15025,1,38338938,454388330,Clay Banks,Clay Banks town,385
613U600US5500102922850,5.5001E+12,55,29,22850,1,6381139,10769514,Egg Harbor,Egg Harbor village,358
613U600US5500102922875,5.5001E+12,55,29,22875,1,93395112,216565969,Egg Harbor,Egg Harbor town,1458
613U600US5500102924150,5.5001E+12,55,29,24150,1,9808912,11246892,Ephraim,Ephraim village,345
613U600US5500102926625,5.5001E+12,55,29,26625,1,1346478,2695,Forestville,Forestville village,482
613U600US5500102926650,5.5001E+12,55,29,26650,1,91406641,514883,Forestville,Forestville town,1063
613U600US5500102928300,5.5001E+12,55,29,28300,1,88825463,203027915,Gardner,Gardner town,1218
613U600US5500102928950,5.5001E+12,55,29,28950,1,87478010,181467318,Gibraltar,Gibraltar town,1228
613U600US5500102937750,5.5001E+12,55,29,37750,1,74886911,380469052,Jacksonport,Jacksonport town,878
613U600US5500102943925,5.5001E+12,55,29,43925,1,138978889,1182925060,Liberty Grove,Liberty Grove town,2096
613U600US5500102955500,5.5001E+12,55,29,55500,1,110628616,53790312,Nasewaupee,Nasewaupee town,1984
613U600US5500102972600,5.5001E+12,55,29,72600,1,133935167,430472677,Sevastopol,Sevastopol town,2826
613U600US5500102974225,5.5001E+12,55,29,74225,1,6680235,2566148,Sister Bay,Sister Bay village,1148
613U600US5500102977875,5.5001E+12,55,29,77875,1,25458882,4309410,Sturgeon Bay,Sturgeon Bay city,9646
613U600US5500102977900,5.5001E+12,55,29,77900,1,50146353,443912924,Sturgeon Bay,Sturgeon Bay town,821
