GEOID,GEOCODE,STATE,SLDU18,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
617U600US5500199999,5500199999,55,1,99999,,,3903201282,7110305992,1,State Senate District 1,184304
617U600US5500299999,5500299999,55,2,99999,,,3624154320,50991703,2,State Senate District 2,183553
617U600US5500399999,5500399999,55,3,99999,,,59340966,172273,3,State Senate District 3,170693
617U600US5500405460,5500405460,55,4,5460,,,7813157,419000,Glendale-River Hills School District,Glendale-River Hills School District (part),6276
617U600US5500499999,5500499999,55,4,99999,,,92766184,1339823,4,Remainder of State Senate District 4,156932
617U600US5500599999,5500599999,55,5,99999,,,196247887,1759177,5,State Senate District 5,179060
617U600US5500699999,5500699999,55,6,99999,,,50656914,119154,6,State Senate District 6,162069
617U600US5500799999,5500799999,55,7,99999,,,150298944,1407373067,7,State Senate District 7,177968
617U600US5500800080,5500800080,55,8,80,,,34962054,1032910,Holy Hill Area School District,Holy Hill Area School District (part),3348
617U600US5500804410,5500804410,55,8,4410,,,59503107,861745,Erin School District,Erin School District,2519
617U600US5500804770,5500804770,55,8,4770,,,13566308,452589,Maple Dale-Indian Hill School District,Maple Dale-Indian Hill School District,1784
617U600US5500804800,5500804800,55,8,4800,,,13362886,0,Fox Point Joint No. 2 School District,Fox Point Joint No. 2 School District,11312
617U600US5500805460,5500805460,55,8,5460,,,6903483,100005,Glendale-River Hills School District,Glendale-River Hills School District (part),6899
617U600US5500806090,5500806090,55,8,6090,,,22818222,1406,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),948
617U600US5500808130,5500808130,55,8,8130,,,9029955,45542,Richmond School District,Richmond School District (part),1741
617U600US5500809360,5500809360,55,8,9360,,,17870375,314827,Merton Community School District,Merton Community School District (part),2449
617U600US5500899999,5500899999,55,8,99999,,,452590851,1049866310,8,Remainder of State Senate District 8,151248
617U600US5500999999,5500999999,55,9,99999,,,2060973176,4286696445,9,State Senate District 9,175990
617U600US5501099999,5501099999,55,10,99999,,,5368032603,189279665,10,State Senate District 10,183755
617U600US5501104720,5501104720,55,11,4720,,,28043557,998410,Fontana Joint No. 8 School District,Fontana Joint No. 8 School District,3962
617U600US5501105100,5501105100,55,11,5100,,,10571483,0,Geneva Joint No. 4 School District,Geneva Joint No. 4 School District,1105
617U600US5501105130,5501105130,55,11,5130,,,46535679,898563,Genoa City Joint No. 2 School District,Genoa City Joint No. 2 School District,5068
617U600US5501107620,5501107620,55,11,7620,,,136227056,1679737,Lake Geneva Joint No. 1 School District,Lake Geneva Joint No. 1 School District,18339
617U600US5501108040,5501108040,55,11,8040,,,36472524,39134,Linn Joint No. 4 School District,Linn Joint No. 4 School District,1003
617U600US5501108070,5501108070,55,11,8070,,,41137157,2397,Linn Joint No. 6 School District,Linn Joint No. 6 School District,1295
617U600US5501112390,5501112390,55,11,12390,,,593972,3012,Randall Joint No. 1 School District,Randall Joint No. 1 School District (part),5
617U600US5501113560,5501113560,55,11,13560,,,51136895,0,Sharon Joint No. 11 School District,Sharon Joint No. 11 School District,1975
617U600US5501115450,5501115450,55,11,15450,,,69894569,146130,Walworth Joint No. 1 School District,Walworth Joint No. 1 School District,3850
617U600US5501116560,5501116560,55,11,16560,,,61306720,1004886,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District (part),3391
617U600US5501199999,5501199999,55,11,99999,,,2101096639,65209501,11,Remainder of State Senate District 11,137846
617U600US5501201530,5501201530,55,12,1530,,,557637217,132417188,North Lakeland School District,North Lakeland School District (part),3038
617U600US5501209690,5501209690,55,12,9690,,,554825199,73914356,Minocqua Joint No. 1 School District,Minocqua Joint No. 1 School District,7516
617U600US5501217160,5501217160,55,12,17160,,,231954778,43853722,Woodruff Joint No. 1 School District,Woodruff Joint No. 1 School District,5447
617U600US5501299999,5501299999,55,12,99999,,,18980383251,777207946,12,Remainder of State Senate District 12,158946
617U600US5501300075,5501300075,55,13,75,,,210014307,1594825,Herman-Neosho-Rubicon School District,Herman-Neosho-Rubicon School District,4772
617U600US5501306090,5501306090,55,13,6090,,,31307844,298415,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),3359
617U600US5501309390,5501309390,55,13,9390,,,5641292,40284,Stone Bank School District,Stone Bank School District (part),726
617U600US5501399999,5501399999,55,13,99999,,,2837386025,76883623,13,Remainder of State Senate District 13,172163
617U600US5501499999,5501499999,55,14,99999,,,7855631470,281807455,14,State Senate District 14,173203
617U600US5501599999,5501599999,55,15,99999,,,2375990198,69725929,15,State Senate District 15,175730
617U600US5501699999,5501699999,55,16,99999,,,569656953,29192214,16,State Senate District 16,192492
617U600US5501799999,5501799999,55,17,99999,,,11240277027,230648090,17,State Senate District 17,173532
617U600US5501899999,5501899999,55,18,99999,,,1568872714,338125632,18,State Senate District 18,175838
617U600US5501999999,5501999999,55,19,99999,,,827566608,144572470,19,State Senate District 19,184473
617U600US5502000080,5502000080,55,20,80,,,29531319,1578,Holy Hill Area School District,Holy Hill Area School District (part),3578
617U600US5502006090,5502006090,55,20,6090,,,75369842,1931357,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District (part),14694
617U600US5502099999,5502099999,55,20,99999,,,2438962212,2355637073,20,Remainder of State Senate District 20,158298
617U600US5502100052,5502100052,55,21,52,,,26299929,2369563,Trevor-Wilmot Consolidated School District,Trevor-Wilmot Consolidated School District,3859
617U600US5502101650,5502101650,55,21,1650,,,86854456,505856,Brighton No. 1 School District,Brighton No. 1 School District,1291
617U600US5502101710,5502101710,55,21,1710,,,83384305,608669,Bristol No. 1 School District,Bristol No. 1 School District (part),4661
617U600US5502103750,5502103750,55,21,3750,,,28712859,57787,Dover No. 1 School District,Dover No. 1 School District,1943
617U600US5502110800,5502110800,55,21,10800,,,21058068,32878,Norway Joint No. 7 School District,Norway Joint No. 7 School District,839
617U600US5502111400,5502111400,55,21,11400,,,89954345,6123,Paris Joint No. 1 School District,Paris Joint No. 1 School District (part),1629
617U600US5502112390,5502112390,55,21,12390,,,42287726,1694443,Randall Joint No. 1 School District,Randall Joint No. 1 School District (part),5678
617U600US5502112480,5502112480,55,21,12480,,,80655156,340856,Raymond No. 14 School District,Raymond No. 14 School District,3389
617U600US5502112510,5502112510,55,21,12510,,,53146842,153504,North Cape School District,North Cape School District,1918
617U600US5502113350,5502113350,55,21,13350,,,44379686,2570882,Salem School District,Salem School District,9482
617U600US5502113860,5502113860,55,21,13860,,,10239310,2920956,Silver Lake Joint No. 1 School District,Silver Lake Joint No. 1 School District,4000
617U600US5502115090,5502115090,55,21,15090,,,6755705,4064458,Twin Lakes No. 4 School District,Twin Lakes No. 4 School District,3708
617U600US5502115180,5502115180,55,21,15180,,,25277969,33319,Union Grove Joint No. 1 School District,Union Grove Joint No. 1 School District,5269
617U600US5502115660,5502115660,55,21,15660,,,54189705,562927,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District (part),4093
617U600US5502115700,5502115700,55,21,15700,,,222589,0,Washington-Caldwell School District,Washington-Caldwell School District (part),7
617U600US5502116560,5502116560,55,21,16560,,,19047579,277386,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District (part),777
617U600US5502117220,5502117220,55,21,17220,,,76907328,276224,Yorkville Joint No. 2 School District,Yorkville Joint No. 2 School District,2963
617U600US5502199999,5502199999,55,21,99999,,,525071685,2410821775,21,Remainder of State Senate District 21,122696
617U600US5502201710,5502201710,55,22,1710,,,3585712,18498,Bristol No. 1 School District,Bristol No. 1 School District (part),1302
617U600US5502211400,5502211400,55,22,11400,,,3026058,0,Paris Joint No. 1 School District,Paris Joint No. 1 School District (part),39
617U600US5502299999,5502299999,55,22,99999,,,127417111,4165621,22,Remainder of State Senate District 22,169778
617U600US5502399999,5502399999,55,23,99999,,,9185726424,141082547,23,State Senate District 23,179543
617U600US5502499999,5502499999,55,24,99999,,,7436391248,224247554,24,State Senate District 24,173811
617U600US5502501530,5502501530,55,25,1530,,,178839,0,North Lakeland School District,North Lakeland School District (part),6
617U600US5502504620,5502504620,55,25,4620,,,256708439,73941941,Lac du Flambeau No. 1 School District,Lac du Flambeau No. 1 School District,3552
617U600US5502599999,5502599999,55,25,99999,,,21529983876,5989718789,25,Remainder of State Senate District 25,172710
617U600US5502699999,5502699999,55,26,99999,,,111546344,53897642,26,State Senate District 26,201819
617U600US5502799999,5502799999,55,27,99999,,,4213849242,81353188,27,State Senate District 27,195505
617U600US5502815660,5502815660,55,28,15660,,,66418481,4801074,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District (part),10137
617U600US5502815700,5502815700,55,28,15700,,,21991733,1064357,Washington-Caldwell School District,Washington-Caldwell School District (part),1927
617U600US5502899999,5502899999,55,28,99999,,,428066611,15618031,28,Remainder of State Senate District 28,165431
617U600US5502999999,5502999999,55,29,99999,,,10713149343,346631810,29,State Senate District 29,176184
617U600US5503099999,5503099999,55,30,99999,,,1484930308,764965420,30,State Senate District 30,180949
617U600US5503199999,5503199999,55,31,99999,,,8109446038,232674567,31,State Senate District 31,179398
617U600US5503299999,5503299999,55,32,99999,,,5606687138,211818041,32,State Senate District 32,179156
617U600US5503300013,5503300013,55,33,13,,,22445796,3797501,Lake Country School District,Lake Country School District,4401
617U600US5503306140,5503306140,55,33,6140,,,21892496,1821977,Hartland-Lakeside Joint No. 3 School District,Hartland-Lakeside Joint No. 3 School District,11740
617U600US5503308130,5503308130,55,33,8130,,,8102098,18020,Richmond School District,Richmond School District (part),1245
617U600US5503309240,5503309240,55,33,9240,,,12279269,2572423,Swallow School District,Swallow School District,3198
617U600US5503309300,5503309300,55,33,9300,,,31435734,1310267,North Lake School District,North Lake School District,2702
617U600US5503309360,5503309360,55,33,9360,,,14885373,1118420,Merton Community School District,Merton Community School District (part),4327
617U600US5503309390,5503309390,55,33,9390,,,17212881,3318639,Stone Bank School District,Stone Bank School District (part),1984
617U600US5503399999,5503399999,55,33,99999,,,472327669,27502157,33,Remainder of State Senate District 33,146180
618U600US5500199999,5500199999,55,1,,99999,,3903201282,7110305992,1,State Senate District 1,184304
618U600US5500299999,5500299999,55,2,,99999,,3624154320,50991703,2,State Senate District 2,183553
618U600US5500399999,5500399999,55,3,,99999,,59340966,172273,3,State Senate District 3,170693
618U600US5500405490,5500405490,55,4,,5490,,7813157,419000,Nicolet Union High School District,Nicolet Union High School District (part),6276
618U600US5500499999,5500499999,55,4,,99999,,92766184,1339823,4,Remainder of State Senate District 4,156932
618U600US5500599999,5500599999,55,5,,99999,,196247887,1759177,5,State Senate District 5,179060
618U600US5500699999,5500699999,55,6,,99999,,50656914,119154,6,State Senate District 6,162069
618U600US5500799999,5500799999,55,7,,99999,,150298944,1407373067,7,State Senate District 7,177968
618U600US5500805490,5500805490,55,8,,5490,,33832677,552594,Nicolet Union High School District,Nicolet Union High School District (part),19995
618U600US5500806120,5500806120,55,8,,6120,,117283383,1896061,Hartford Union High School District,Hartford Union High School District (part),6815
618U600US5500806180,5500806180,55,8,,6180,,26900330,360369,Arrowhead Union High School District,Arrowhead Union High School District (part),4190
618U600US5500899999,5500899999,55,8,,99999,,452590851,1049866310,8,Remainder of State Senate District 8,151248
618U600US5500999999,5500999999,55,9,,99999,,2060973176,4286696445,9,State Senate District 9,175990
618U600US5501099999,5501099999,55,10,,99999,,5368032603,189279665,10,State Senate District 10,183755
618U600US5501107650,5501107650,55,11,,7650,,229806742,2617434,Lake Geneva-Genoa City Union High School District,Lake Geneva-Genoa City Union High School District,25515
618U600US5501113290,5501113290,55,11,,13290,,53540945,600147,Westosha Central High School District,Westosha Central High School District (part),2778
618U600US5501115480,5501115480,55,11,,15480,,190212178,1146937,Big Foot Union High School District,Big Foot Union High School District,11082
618U600US5501116770,5501116770,55,11,,16770,,8359747,407751,Wilmot Union High School District,Wilmot Union High School District (part),618
618U600US5501199999,5501199999,55,11,,99999,,2101096639,65209501,11,Remainder of State Senate District 11,137846
618U600US5501209630,5501209630,55,12,,9630,,1344417194,250185266,Lakeland Union High School District,Lakeland Union High School District (part),16001
618U600US5501299999,5501299999,55,12,,99999,,18980383251,777207946,12,Remainder of State Senate District 12,158946
618U600US5501306120,5501306120,55,13,,6120,,241322151,1893240,Hartford Union High School District,Hartford Union High School District (part),8131
618U600US5501306180,5501306180,55,13,,6180,,5641292,40284,Arrowhead Union High School District,Arrowhead Union High School District (part),726
618U600US5501399999,5501399999,55,13,,99999,,2837386025,76883623,13,Remainder of State Senate District 13,172163
618U600US5501499999,5501499999,55,14,,99999,,7855631470,281807455,14,State Senate District 14,173203
618U600US5501599999,5501599999,55,15,,99999,,2375990198,69725929,15,State Senate District 15,175730
618U600US5501699999,5501699999,55,16,,99999,,569656953,29192214,16,State Senate District 16,192492
618U600US5501799999,5501799999,55,17,,99999,,11240277027,230648090,17,State Senate District 17,173532
618U600US5501899999,5501899999,55,18,,99999,,1568872714,338125632,18,State Senate District 18,175838
618U600US5501999999,5501999999,55,19,,99999,,827566608,144572470,19,State Senate District 19,184473
618U600US5502006120,5502006120,55,20,,6120,,104901161,1932935,Hartford Union High School District,Hartford Union High School District (part),18272
618U600US5502099999,5502099999,55,20,,99999,,2438962212,2355637073,20,Remainder of State Senate District 20,158298
618U600US5502113290,5502113290,55,21,,13290,,299470378,3701716,Westosha Central High School District,Westosha Central High School District (part),16682
618U600US5502115150,5502115150,55,21,,15150,,216412853,708186,Union Grove Union High School District,Union Grove Union High School District,13616
618U600US5502115600,5502115600,55,21,,15600,,128617204,749309,Waterford Union High School District,Waterford Union High School District (part),6857
618U600US5502116770,5502116770,55,21,,16770,,104873122,11316620,Wilmot Union High School District,Wilmot Union High School District (part),18351
618U600US5502199999,5502199999,55,21,,99999,,525071685,2410821775,21,Remainder of State Senate District 21,122696
618U600US5502213290,5502213290,55,22,,13290,,6611770,18498,Westosha Central High School District,Westosha Central High School District (part),1341
618U600US5502299999,5502299999,55,22,,99999,,127417111,4165621,22,Remainder of State Senate District 22,169778
618U600US5502399999,5502399999,55,23,,99999,,9185726424,141082547,23,State Senate District 23,179543
618U600US5502499999,5502499999,55,24,,99999,,7436391248,224247554,24,State Senate District 24,173811
618U600US5502509630,5502509630,55,25,,9630,,256887278,73941941,Lakeland Union High School District,Lakeland Union High School District (part),3558
618U600US5502599999,5502599999,55,25,,99999,,21529983876,5989718789,25,Remainder of State Senate District 25,172710
618U600US5502699999,5502699999,55,26,,99999,,111546344,53897642,26,State Senate District 26,201819
618U600US5502799999,5502799999,55,27,,99999,,4213849242,81353188,27,State Senate District 27,195505
618U600US5502815600,5502815600,55,28,,15600,,88410214,5865431,Waterford Union High School District,Waterford Union High School District (part),12064
618U600US5502899999,5502899999,55,28,,99999,,428066611,15618031,28,Remainder of State Senate District 28,165431
618U600US5502999999,5502999999,55,29,,99999,,10713149343,346631810,29,State Senate District 29,176184
618U600US5503099999,5503099999,55,30,,99999,,1484930308,764965420,30,State Senate District 30,180949
618U600US5503199999,5503199999,55,31,,99999,,8109446038,232674567,31,State Senate District 31,179398
618U600US5503299999,5503299999,55,32,,99999,,5606687138,211818041,32,State Senate District 32,179156
618U600US5503306180,5503306180,55,33,,6180,,128253647,13957247,Arrowhead Union High School District,Arrowhead Union High School District (part),29597
618U600US5503399999,5503399999,55,33,,99999,,472327669,27502157,33,Remainder of State Senate District 33,146180
619U600US5500100150,5500100150,55,1,,,150,175921321,807170,Algoma School District,Algoma School District,5138
619U600US5500100390,5500100390,55,1,,,390,13542166,293453,Appleton Area School District,Appleton Area School District (part),14473
619U600US5500101680,5500101680,55,1,,,1680,96398059,324299,Brillion School District,Brillion School District (part),4998
619U600US5500102520,5500102520,55,1,,,2520,26670156,32380,Chilton School District,Chilton School District (part),405
619U600US5500103210,5500103210,55,1,,,3210,94878923,2678647,De Pere Unified School District,De Pere Unified School District (part),7918
619U600US5500103660,5500103660,55,1,,,3660,308418551,3358084,Denmark School District,Denmark School District (part),7937
619U600US5500105220,5500105220,55,1,,,5220,351562708,835156625,Gibraltar Area School District,Gibraltar Area School District,6810
619U600US5500105820,5500105820,55,1,,,5820,83301715,149491,Green Bay Area School District,Green Bay Area School District (part),4288
619U600US5500106450,5500106450,55,1,,,6450,84168094,200090,Hilbert School District,Hilbert School District (part),1195
619U600US5500107290,5500107290,55,1,,,7290,119728609,866114,Kaukauna Area School District,Kaukauna Area School District (part),8968
619U600US5500107410,5500107410,55,1,,,7410,332558557,1289466,Kewaunee School District,Kewaunee School District,6731
619U600US5500107470,5500107470,55,1,,,7470,33569283,942122,Kimberly Area School District,Kimberly Area School District,24292
619U600US5500108160,5500108160,55,1,,,8160,4414989,649063,Little Chute Area School District,Little Chute Area School District (part),5782
619U600US5500108340,5500108340,55,1,,,8340,446796346,35729,Luxemburg-Casco School District,Luxemburg-Casco School District,11435
619U600US5500108610,5500108610,55,1,,,8610,40538939,188901,Manitowoc School District,Manitowoc School District (part),1039
