GEOID,GEOCODE,STATE,COUNTY,TRACT,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
631U600US55001009001802,5.5001E+13,55,9,1802,1,5749615,0,18.02,Census Tract 18.02 (part),1336
631U600US55001009010100,5.5001E+13,55,9,10100,1,420682,476726,101,Census Tract 101 (part),334
631U600US55001009010201,5.5001E+13,55,9,10201,1,3809276,1275810,102.01,Census Tract 102.01 (part),4590
631U600US55001009010202,5.5001E+13,55,9,10202,1,6542444,12251,102.02,Census Tract 102.02,5453
631U600US55001009010300,5.5001E+13,55,9,10300,1,12504031,604753,103,Census Tract 103 (part),2702
631U600US55001009020100,5.5001E+13,55,9,20100,1,165104649,105013505,201,Census Tract 201,5817
631U600US55001009020203,5.5001E+13,55,9,20203,1,0,7120522,202.03,Census Tract 202.03 (part),0
631U600US55001009020600,5.5001E+13,55,9,20600,1,156007429,1108253,206,Census Tract 206,5632
631U600US55001009020702,5.5001E+13,55,9,20702,1,7159030,0,207.02,Census Tract 207.02 (part),1765
631U600US55001009021400,5.5001E+13,55,9,21400,1,149014192,2553649,214,Census Tract 214,8174
631U600US55001009021500,5.5001E+13,55,9,21500,1,187202834,349047,215,Census Tract 215,3248
631U600US55001009940006,5.5001E+13,55,9,940006,1,25964196,300988,9400.06,Census Tract 9400.06 (part),2153
631U600US55001009940007,5.5001E+13,55,9,940007,1,11793748,1363305,9400.07,Census Tract 9400.07,3808
631U600US55001009940008,5.5001E+13,55,9,940008,1,8353508,0,9400.08,Census Tract 9400.08 (part),3245
631U600US55001015020100,5.5001E+13,55,15,20100,1,92699110,393822,201,Census Tract 201,4912
631U600US55001015020200,5.5001E+13,55,15,20200,1,84612281,102720,202,Census Tract 202 (part),850
631U600US55001015020303,5.5001E+13,55,15,20303,1,2018483,0,203.03,Census Tract 203.03,3762
631U600US55001015020304,5.5001E+13,55,15,20304,1,1884686,0,203.04,Census Tract 203.04,3591
631U600US55001015020306,5.5001E+13,55,15,20306,1,74644677,58976949,203.06,Census Tract 203.06,7047
631U600US55001015020308,5.5001E+13,55,15,20308,1,13279301,8859696,203.08,Census Tract 203.08,4943
631U600US55001015020400,5.5001E+13,55,15,20400,1,95418432,86471545,204,Census Tract 204 (part),2131
631U600US55001015020700,5.5001E+13,55,15,20700,1,3900457,8495,207,Census Tract 207,4448
631U600US55001015020800,5.5001E+13,55,15,20800,1,8196080,74004,208,Census Tract 208,6209
631U600US55001029100100,5.5001E+13,55,29,100100,1,192719163,581075331,1001,Census Tract 1001,2554
631U600US55001029100300,5.5001E+13,55,29,100300,1,114776963,355254018,1003,Census Tract 1003,2975
631U600US55001029100400,5.5001E+13,55,29,100400,1,181588999,256234456,1004,Census Tract 1004,3118
631U600US55001029100500,5.5001E+13,55,29,100500,1,202982073,152603893,1005,Census Tract 1005,3601
631U600US55001029100600,5.5001E+13,55,29,100600,1,247219861,6326130,1006,Census Tract 1006,3356
631U600US55001029100700,5.5001E+13,55,29,100700,1,18334894,1243450,1007,Census Tract 1007,4894
631U600US55001029100800,5.5001E+13,55,29,100800,1,46526588,7698944,1008,Census Tract 1008,5554
631U600US55001029100900,5.5001E+13,55,29,100900,1,103370454,53368943,1009,Census Tract 1009,1775
631U600US55001029101000,5.5001E+13,55,29,101000,1,140758429,241137687,1010,Census Tract 1010,2239
631U600US55001029990000,5.5001E+13,55,29,990000,1,0,3235661755,9900,Census Tract 9900,0
631U600US55001061960100,5.50011E+13,55,61,960100,1,7950296,1658681,9601,Census Tract 9601,3227
631U600US55001061960200,5.50011E+13,55,61,960200,1,214813773,12150040,9602,Census Tract 9602,2506
631U600US55001061960401,5.50011E+13,55,61,960401,1,214575610,526869,9604.01,Census Tract 9604.01,5116
631U600US55001061960402,5.50011E+13,55,61,960402,1,174329598,3017518,9604.02,Census Tract 9604.02,3785
631U600US55001061960500,5.50011E+13,55,61,960500,1,275282513,7508680,9605,Census Tract 9605,5929
631U600US55001061990000,5.50011E+13,55,61,990000,1,0,1896474482,9900,Census Tract 9900,0
631U600US55001071000100,5.50011E+13,55,71,100,1,857401,0,1,Census Tract 1 (part),2
631U600US55001071005100,5.50011E+13,55,71,5100,1,7580734,1634480,51,Census Tract 51,2231
631U600US55001071005200,5.50011E+13,55,71,5200,1,10045372,863619,52,Census Tract 52,4477
631U600US55001071005300,5.50011E+13,55,71,5300,1,1137844,123420,53,Census Tract 53,2006
631U600US55001071005400,5.50011E+13,55,71,5400,1,11964998,4025400,54,Census Tract 54,2971
631U600US55001071010100,5.50011E+13,55,71,10100,1,181241946,11553709,101,Census Tract 101 (part),4405
631U600US55001071010200,5.50011E+13,55,71,10200,1,287302996,1854061,102,Census Tract 102,5721
631U600US55001071010300,5.50011E+13,55,71,10300,1,93704392,708623,103,Census Tract 103 (part),1415
631U600US55001087010601,5.50011E+13,55,87,10601,1,34777,0,106.01,Census Tract 106.01 (part),29
631U600US55001087011502,5.50011E+13,55,87,11502,1,1665501,384688,115.02,Census Tract 115.02 (part),253
631U600US55001087011600,5.50011E+13,55,87,11600,1,7556288,216111,116,Census Tract 116,7390
631U600US55001087011700,5.50011E+13,55,87,11700,1,1673645,104291,117,Census Tract 117,2696
631U600US55001087011800,5.50011E+13,55,87,11800,1,1276934,241886,118,Census Tract 118,1945
631U600US55001087011901,5.50011E+13,55,87,11901,1,1541390,0,119.01,Census Tract 119.01 (part),2847
631U600US55001087011902,5.50011E+13,55,87,11902,1,1131634,135047,119.02,Census Tract 119.02 (part),1135
631U600US55001087012000,5.50011E+13,55,87,12000,1,8121287,492887,120,Census Tract 120,6669
631U600US55001087012101,5.50011E+13,55,87,12101,1,3743977,0,121.01,Census Tract 121.01 (part),101
631U600US55001087012102,5.50011E+13,55,87,12102,1,37272,0,121.02,Census Tract 121.02 (part),14
631U600US55001087013300,5.50011E+13,55,87,13300,1,31074539,960853,133,Census Tract 133 (part),1218
631U600US55002009000302,5.5002E+13,55,9,302,2,2142474,0,3.02,Census Tract 3.02 (part),3247
631U600US55002009000402,5.5002E+13,55,9,402,2,1804300,0,4.02,Census Tract 4.02,2206
631U600US55002009000600,5.5002E+13,55,9,600,2,1281646,0,6,Census Tract 6 (part),2011
631U600US55002009000700,5.5002E+13,55,9,700,2,42061,0,7,Census Tract 7 (part),96
631U600US55002009000800,5.5002E+13,55,9,800,2,10427,0,8,Census Tract 8 (part),0
631U600US55002009010201,5.5002E+13,55,9,10201,2,128104,0,102.01,Census Tract 102.01 (part),11
631U600US55002009020502,5.5002E+13,55,9,20502,2,3824122,0,205.02,Census Tract 205.02 (part),1166
631U600US55002009020504,5.5002E+13,55,9,20504,2,17566625,0,205.04,Census Tract 205.04,6270
631U600US55002009020505,5.5002E+13,55,9,20505,2,4557629,0,205.05,Census Tract 205.05 (part),4031
