GEOID,GEOCODE,STATE,COUNTY,TRACT,BLKGRP,AREALAND,AREAWATR,BASENAME,NAME,POP100,county_name
1500000US550019501001,5.5002E+11,55,1,950100,1,136227791,1219359,1,Block Group 1,1136,Adams
1500000US550019501002,5.5002E+11,55,1,950100,2,53743860,1566353,2,Block Group 2,808,Adams
1500000US550019501003,5.5002E+11,55,1,950100,3,10003285,430138,3,Block Group 3,634,Adams
1500000US550019501004,5.5002E+11,55,1,950100,4,33976865,14331699,4,Block Group 4,664,Adams
1500000US550019502011,5.5002E+11,55,1,950201,1,56912478,7384213,1,Block Group 1,675,Adams
1500000US550019502012,5.5002E+11,55,1,950201,2,52577345,257865,2,Block Group 2,711,Adams
1500000US550019502031,5.5002E+11,55,1,950203,1,40367112,250212,1,Block Group 1,442,Adams
1500000US550019502032,5.5002E+11,55,1,950203,2,73984868,1118622,2,Block Group 2,493,Adams
1500000US550019502041,5.5002E+11,55,1,950204,1,243737816,4941369,1,Block Group 1,795,Adams
1500000US550019502042,5.5002E+11,55,1,950204,2,109801632,44217959,2,Block Group 2,851,Adams
1500000US550019504001,5.5002E+11,55,1,950400,1,118998244,214001,1,Block Group 1,696,Adams
1500000US550019504002,5.5002E+11,55,1,950400,2,96233552,567463,2,Block Group 2,1067,Adams
1500000US550019504003,5.5002E+11,55,1,950400,3,6464135,0,3,Block Group 3,1067,Adams
1500000US550019504004,5.5002E+11,55,1,950400,4,14547054,413607,4,Block Group 4,1661,Adams
1500000US550019505011,5.5002E+11,55,1,950501,1,103525472,2588773,1,Block Group 1,811,Adams
1500000US550019505012,5.5002E+11,55,1,950501,2,10493890,17165256,2,Block Group 2,607,Adams
1500000US550019505021,5.5002E+11,55,1,950502,1,40770227,606846,1,Block Group 1,1491,Adams
1500000US550019505022,5.5002E+11,55,1,950502,2,77459586,231845,2,Block Group 2,860,Adams
1500000US550019505023,5.5002E+11,55,1,950502,3,65114042,131938,3,Block Group 3,805,Adams
1500000US550019505024,5.5002E+11,55,1,950502,4,66212329,2175340,4,Block Group 4,619,Adams
1500000US550019507001,5.5002E+11,55,1,950700,1,78429707,1557505,1,Block Group 1,1107,Adams
1500000US550019507002,5.5002E+11,55,1,950700,2,110584849,4299543,2,Block Group 2,1054,Adams
1500000US550019507003,5.5002E+11,55,1,950700,3,72049915,2679076,3,Block Group 3,1600,Adams
1500000US550039400001,5.50039E+11,55,3,940000,1,567097187,20990356,1,Block Group 1,2066,Ashland
1500000US550039503001,5.5004E+11,55,3,950300,1,5123531,63299,1,Block Group 1,1994,Ashland
1500000US550039503002,5.5004E+11,55,3,950300,2,490140,0,2,Block Group 2,741,Ashland
1500000US550039504001,5.5004E+11,55,3,950400,1,7561745,154682,1,Block Group 1,974,Ashland
1500000US550039504002,5.5004E+11,55,3,950400,2,469307,0,2,Block Group 2,613,Ashland
1500000US550039504003,5.5004E+11,55,3,950400,3,503312,43623,3,Block Group 3,680,Ashland
1500000US550039505001,5.5004E+11,55,3,950500,1,120640793,186214,1,Block Group 1,1411,Ashland
1500000US550039505002,5.5004E+11,55,3,950500,2,214794448,2115429,2,Block Group 2,801,Ashland
1500000US550039506001,5.5004E+11,55,3,950600,1,168552916,3086709,1,Block Group 1,766,Ashland
1500000US550039506002,5.5004E+11,55,3,950600,2,350751969,7332588,2,Block Group 2,590,Ashland
1500000US550039507001,5.5004E+11,55,3,950700,1,176454247,1010206,1,Block Group 1,716,Ashland
1500000US550039507002,5.5004E+11,55,3,950700,2,560033197,3843796,2,Block Group 2,514,Ashland
1500000US550039507003,5.5004E+11,55,3,950700,3,310728109,2980733,3,Block Group 3,813,Ashland
1500000US550039508001,5.5004E+11,55,3,950800,1,202447339,1074976232,1,Block Group 1,428,Ashland
1500000US550039508002,5.5004E+11,55,3,950800,2,961110,197920,2,Block Group 2,1278,Ashland
1500000US550039508003,5.5004E+11,55,3,950800,3,19097347,70746,3,Block Group 3,884,Ashland
1500000US550039508004,5.5004E+11,55,3,950800,4,752090,129328,4,Block Group 4,758,Ashland
1500000US550039900000,5.5004E+11,55,3,990000,0,0,2113546457,0,Block Group 0,0,Ashland
1500000US550050001001,5.5005E+11,55,5,100,1,64730397,10162805,1,Block Group 1,1008,Barron
1500000US550050001002,5.5005E+11,55,5,100,2,101005023,2253851,2,Block Group 2,1258,Barron
1500000US550050001003,5.5005E+11,55,5,100,3,96995074,6141916,3,Block Group 3,987,Barron
1500000US550050001004,5.5005E+11,55,5,100,4,74778762,4357410,4,Block Group 4,678,Barron
1500000US550050002001,5.5005E+11,55,5,200,1,96497212,7090110,1,Block Group 1,1054,Barron
1500000US550050002002,5.5005E+11,55,5,200,2,21351191,3396136,2,Block Group 2,1689,Barron
1500000US550050002003,5.5005E+11,55,5,200,3,64698374,2991798,3,Block Group 3,1336,Barron
1500000US550050003001,5.5005E+11,55,5,300,1,75105538,5511645,1,Block Group 1,1380,Barron
1500000US550050003002,5.5005E+11,55,5,300,2,23501922,712566,2,Block Group 2,1119,Barron
1500000US550050003003,5.5005E+11,55,5,300,3,88295042,1553079,3,Block Group 3,860,Barron
1500000US550050003004,5.5005E+11,55,5,300,4,67758008,690563,4,Block Group 4,823,Barron
1500000US550050004001,5.5005E+11,55,5,400,1,111289484,424488,1,Block Group 1,985,Barron
1500000US550050004002,5.5005E+11,55,5,400,2,11491709,349435,2,Block Group 2,1673,Barron
1500000US550050004003,5.5005E+11,55,5,400,3,71885044,0,3,Block Group 3,626,Barron
1500000US550050004004,5.5005E+11,55,5,400,4,13857710,31561,4,Block Group 4,1336,Barron
1500000US550050004005,5.5005E+11,55,5,400,5,8205620,18168,5,Block Group 5,1049,Barron
1500000US550050005001,5.5005E+11,55,5,500,1,471619,0,1,Block Group 1,759,Barron
1500000US550050005002,5.5005E+11,55,5,500,2,14430086,0,2,Block Group 2,1702,Barron
1500000US550050005003,5.5005E+11,55,5,500,3,5093901,0,3,Block Group 3,1401,Barron
1500000US550050005004,5.5005E+11,55,5,500,4,604965,0,4,Block Group 4,815,Barron
1500000US550050006011,5.5005E+11,55,5,601,1,3629562,304492,1,Block Group 1,1490,Barron
1500000US550050006012,5.5005E+11,55,5,601,2,4303744,874336,2,Block Group 2,976,Barron
1500000US550050006021,5.5005E+11,55,5,602,1,6142247,1709132,1,Block Group 1,1415,Barron
1500000US550050006022,5.5005E+11,55,5,602,2,794084,979511,2,Block Group 2,613,Barron
1500000US550050006023,5.5005E+11,55,5,602,3,1146510,0,3,Block Group 3,835,Barron
1500000US550050006024,5.5005E+11,55,5,602,4,2391942,830375,4,Block Group 4,826,Barron
1500000US550050008001,5.5005E+11,55,5,800,1,20349027,294089,1,Block Group 1,1043,Barron
1500000US550050008002,5.5005E+11,55,5,800,2,238278433,285905,2,Block Group 2,2123,Barron
1500000US550050008003,5.5005E+11,55,5,800,3,8784379,824750,3,Block Group 3,1168,Barron
1500000US550050008004,5.5005E+11,55,5,800,4,5010165,0,4,Block Group 4,1193,Barron
