GEOID,GEOCODE,STATE,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,POP100
0500000US55001,55001,55,1,1672216054,108348982,Adams,Adams County,20654
0500000US55003,55003,55,3,2706458787,3230728318,Ashland,Ashland County,16027
0500000US55005,55005,55,5,2235281410,69194516,Barron,Barron County,46711
0500000US55007,55007,55,7,3827677060,1460300913,Bayfield,Bayfield County,16220
0500000US55009,55009,55,9,1372931376,221810753,Brown,Brown County,268740
0500000US55011,55011,55,11,1750290818,87549529,Buffalo,Buffalo County,13317
0500000US55013,55013,55,13,2127832847,151938079,Burnett,Burnett County,16526
0500000US55015,55015,55,15,824263566,204161565,Calumet,Calumet County,52442
0500000US55017,55017,55,17,2611628507,85233303,Chippewa,Chippewa County,66297
0500000US55019,55019,55,19,3133102168,23238832,Clark,Clark County,34659
0500000US55021,55021,55,21,1982756253,78834956,Columbia,Columbia County,58490
0500000US55023,55023,55,23,1477970925,73976386,Crawford,Crawford County,16113
0500000US55025,55025,55,25,3098899108,106217126,Dane,Dane County,561504
0500000US55027,55027,55,27,2268049732,81331401,Dodge,Dodge County,89396
0500000US55029,55029,55,29,1248277424,4890604607,Door,Door County,30066
0500000US55031,55031,55,31,3378047451,454294232,Douglas,Douglas County,44295
0500000US55033,55033,55,33,2201902840,35572613,Dunn,Dunn County,45440
0500000US55035,55035,55,35,1652211227,18848551,Eau Claire,Eau Claire County,105710
0500000US55037,55037,55,37,1264232456,24111637,Florence,Florence County,4558
0500000US55039,55039,55,39,1863667254,119853823,Fond du Lac,Fond du Lac County,104154
0500000US55041,55041,55,41,2626878527,83594162,Forest,Forest County,9179
0500000US55043,55043,55,43,2970402286,94521527,Grant,Grant County,51938
0500000US55045,55045,55,45,1512667175,1313241,Green,Green County,37093
0500000US55047,55047,55,47,905314776,79202664,Green Lake,Green Lake County,19018
0500000US55049,55049,55,49,1975379904,13870324,Iowa,Iowa County,23709
0500000US55051,55051,55,51,1963751254,416872439,Iron,Iron County,6137
0500000US55053,55053,55,53,2558687757,32538316,Jackson,Jackson County,21145
0500000US55055,55055,55,55,1441308410,67985729,Jefferson,Jefferson County,84900
0500000US55057,55057,55,57,1986729542,98638538,Juneau,Juneau County,26718
0500000US55059,55059,55,59,704054452,1248862087,Kenosha,Kenosha County,169151
0500000US55061,55061,55,61,886951790,1921336270,Kewaunee,Kewaunee County,20563
0500000US55063,55063,55,63,1170166356,73159122,La Crosse,La Crosse County,120784
0500000US55065,55065,55,65,1640985427,2539010,Lafayette,Lafayette County,16611
0500000US55067,55067,55,67,2255098142,44277570,Langlade,Langlade County,19491
0500000US55069,55069,55,69,2275832535,72745054,Lincoln,Lincoln County,28415
0500000US55071,55071,55,71,1526295968,2343344181,Manitowoc,Manitowoc County,81359
0500000US55073,55073,55,73,4002035761,80651079,Marathon,Marathon County,138013
0500000US55075,55075,55,75,3624599046,389876770,Marinette,Marinette County,41872
0500000US55077,55077,55,77,1180288171,22670053,Marquette,Marquette County,15592
0500000US55078,55078,55,78,926217566,19022479,Menominee,Menominee County,4255
0500000US55079,55079,55,79,625435295,2455388924,Milwaukee,Milwaukee County,939489
0500000US55081,55081,55,81,2333329707,18586826,Monroe,Monroe County,46274
0500000US55083,55083,55,83,2583464370,392038653,Oconto,Oconto County,38965
0500000US55085,55085,55,85,2885102826,317602310,Oneida,Oneida County,37845
0500000US55087,55087,55,87,1651265932,18261063,Outagamie,Outagamie County,190705
0500000US55089,55089,55,89,603514413,2287415379,Ozaukee,Ozaukee County,91503
0500000US55091,55091,55,91,600894491,43241432,Pepin,Pepin County,7318
0500000US55093,55093,55,93,1486700521,48452323,Pierce,Pierce County,42212
0500000US55095,55095,55,95,2368077722,109025818,Polk,Polk County,44977
0500000US55097,55097,55,97,2074252980,56835087,Portage,Portage County,70377
0500000US55099,55099,55,99,3247987870,62098964,Price,Price County,14054
0500000US55101,55101,55,101,861537618,1190103013,Racine,Racine County,197727
0500000US55103,55103,55,103,1518120276,8153423,Richland,Richland County,17304
0500000US55105,55105,55,105,1860044984,20695798,Rock,Rock County,163687
0500000US55107,55107,55,107,2366092262,44813690,Rusk,Rusk County,14188
0500000US55109,55109,55,109,1870380099,33740130,St. Croix,St. Croix County,93536
0500000US55111,55111,55,111,2153686013,45692969,Sauk,Sauk County,65763
0500000US55113,55113,55,113,3257188233,239912003,Sawyer,Sawyer County,18074
0500000US55115,55115,55,115,2313441749,41883059,Shawano,Shawano County,40881
0500000US55117,55117,55,117,1324851053,1967647657,Sheboygan,Sheboygan County,118034
0500000US55119,55119,55,119,2525374187,24630990,Taylor,Taylor County,19913
0500000US55121,55121,55,121,1898383310,23321910,Trempealeau,Trempealeau County,30760
0500000US55123,55123,55,123,2050136139,64289089,Vernon,Vernon County,30714
0500000US55125,55125,55,125,2221455734,414418148,Vilas,Vilas County,23047
0500000US55127,55127,55,127,1438448435,54928965,Walworth,Walworth County,106478
0500000US55129,55129,55,129,2064515991,145563849,Washburn,Washburn County,16623
0500000US55131,55131,55,131,1115362166,12999404,Washington,Washington County,136761
0500000US55133,55133,55,133,1423769478,79817825,Waukesha,Waukesha County,406978
0500000US55135,55135,55,135,1936521055,45270535,Waupaca,Waupaca County,51812
0500000US55137,55137,55,137,1621749913,29096948,Waushara,Waushara County,24520
0500000US55139,55139,55,139,1125859770,372631716,Winnebago,Winnebago County,171730
0500000US55141,55141,55,141,2053959984,41993013,Wood,Wood County,74207
