GEOID,GEOCODE,STATE,COUNTY,COUSUB,AREALAND,AREAWATR,BASENAME,NAME,POP100,county_name
0600000US5500100275,5500100275,55,1,275,7626484,5361,Adams,Adams city,1761,Adams
0600000US5500100300,5500100300,55,1,300,129825962,798653,Adams,Adams town,1378,Adams
0600000US5500107300,5500107300,55,1,7300,124141670,420670,Big Flats,Big Flats town,948,Adams
0600000US5500116075,5500116075,55,1,16075,92955514,47074,Colburn,Colburn town,215,Adams
0600000US5500119575,5500119575,55,1,19575,81586481,2662071,Dell Prairie,Dell Prairie town,1631,Adams
0600000US5500122000,5500122000,55,1,22000,93379034,239068,Easton,Easton town,1062,Adams
0600000US5500127950,5500127950,55,1,27950,2331113,114293,Friendship,Friendship village,648,Adams
0600000US5500137625,5500137625,55,1,37625,89842472,2573601,Jackson,Jackson town,1141,Adams
0600000US5500143425,5500143425,55,1,43425,96600680,72865,Leola,Leola town,287,Adams
0600000US5500144250,5500144250,55,1,44250,93432931,139295,Lincoln,Lincoln town,320,Adams
0600000US5500153725,5500153725,55,1,53725,56651316,40609404,Monroe,Monroe town,391,Adams
0600000US5500156525,5500156525,55,1,56525,80561614,724888,New Chester,New Chester town,1960,Adams
0600000US5500156750,5500156750,55,1,56750,75499026,3242627,New Haven,New Haven town,680,Adams
0600000US5500165450,5500165450,55,1,65450,91556760,1271726,Preston,Preston town,1377,Adams
0600000US5500165825,5500165825,55,1,65825,84098352,19681130,Quincy,Quincy town,1159,Adams
0600000US5500167425,5500167425,55,1,67425,92121523,38873,Richfield,Richfield town,138,Adams
0600000US5500169275,5500169275,55,1,69275,140122176,21048876,Rome,Rome town,3025,Adams
0600000US5500176350,5500176350,55,1,76350,113171044,2292132,Springville,Springville town,1283,Adams
0600000US5500177800,5500177800,55,1,77800,122232343,12332510,Strongs Prairie,Strongs Prairie town,1145,Adams
0600000US5500188150,5500188150,55,1,88150,4479559,33865,Wisconsin Dells,Wisconsin Dells city,105,Adams
0600000US5500300000,5500300000,55,3,0,0,3198457158,County subdivisions not defined,County subdivisions not defined,0,Ashland
0600000US5500300550,5500300550,55,3,550,229862337,1916752,Agenda,Agenda town,370,Ashland
0600000US5500303225,5500303225,55,3,3225,34571558,659598,Ashland,Ashland city,7905,Ashland
0600000US5500303250,5500303250,55,3,3250,106869642,202102,Ashland,Ashland town,589,Ashland
0600000US5500311525,5500311525,55,3,11525,4092089,0,Butternut,Butternut village,366,Ashland
0600000US5500314550,5500314550,55,3,14550,323015987,2708751,Chippewa,Chippewa town,349,Ashland
0600000US5500329250,5500329250,55,3,29250,101048826,15040,Gingles,Gingles town,738,Ashland
0600000US5500329875,5500329875,55,3,29875,270774578,6630842,Gordon,Gordon town,261,Ashland
0600000US5500337775,5500337775,55,3,37775,132151444,831556,Jacobs,Jacobs town,648,Ashland
0600000US5500342562,5500342562,55,3,42562,201396992,1011923,La Pointe,La Pointe town,428,Ashland
0600000US5500349200,5500349200,55,3,49200,184723995,2367001,Marengo,Marengo town,460,Ashland
0600000US5500350700,5500350700,55,3,50700,4876551,0,Mellen,Mellen city,698,Ashland
0600000US5500354400,5500354400,55,3,54400,266123985,4085222,Morse,Morse town,499,Ashland
0600000US5500361600,5500361600,55,3,61600,95370541,276594,Peeksville,Peeksville town,137,Ashland
0600000US5500371350,5500371350,55,3,71350,406650016,10005604,Sanborn,Sanborn town,1381,Ashland
0600000US5500372825,5500372825,55,3,72825,230667836,1389001,Shanagolden,Shanagolden town,131,Ashland
0600000US5500386850,5500386850,55,3,86850,114262410,171174,White River,White River town,1067,Ashland
0600000US5500501325,5500501325,55,5,1325,2925144,0,Almena,Almena village,705,Barron
0600000US5500501350,5500501350,55,5,1350,79064347,4937229,Almena,Almena town,887,Barron
0600000US5500502775,5500502775,55,5,2775,91626888,0,Arland,Arland town,712,Barron
0600000US5500504875,5500504875,55,5,4875,7551034,218280,Barron,Barron city,3733,Barron
0600000US5500504900,5500504900,55,5,4900,84961932,180884,Barron,Barron town,813,Barron
0600000US5500505650,5500505650,55,5,5650,85044354,6064850,Bear Lake,Bear Lake town,670,Barron
