GEOID,GEOCODE,STATE,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
9500000US5500013,5500013,55,13,,,22445796,3797501,Lake Country School District,Lake Country School District,4401
9500000US5500052,5500052,55,52,,,26299929,2369563,Trevor-Wilmot Consolidated School District,Trevor-Wilmot Consolidated School District,3859
9500000US5500075,5500075,55,75,,,210014307,1594825,Herman-Neosho-Rubicon School District,Herman-Neosho-Rubicon School District,4772
9500000US5500080,5500080,55,80,,,64493373,1034488,Holy Hill Area School District,Holy Hill Area School District,6926
9500000US5501530,5501530,55,1530,,,557816056,132417188,North Lakeland School District,North Lakeland School District,3044
9500000US5501650,5501650,55,1650,,,86854456,505856,Brighton No. 1 School District,Brighton No. 1 School District,1291
9500000US5501710,5501710,55,1710,,,86970017,627167,Bristol No. 1 School District,Bristol No. 1 School District,5963
9500000US5503750,5503750,55,3750,,,28712859,57787,Dover No. 1 School District,Dover No. 1 School District,1943
9500000US5504410,5504410,55,4410,,,59503107,861745,Erin School District,Erin School District,2519
9500000US5504620,5504620,55,4620,,,256708439,73941941,Lac du Flambeau No. 1 School District,Lac du Flambeau No. 1 School District,3552
9500000US5504720,5504720,55,4720,,,28043557,998410,Fontana Joint No. 8 School District,Fontana Joint No. 8 School District,3962
9500000US5504770,5504770,55,4770,,,13566308,452589,Maple Dale-Indian Hill School District,Maple Dale-Indian Hill School District,1784
9500000US5504800,5504800,55,4800,,,13362886,0,Fox Point Joint No. 2 School District,Fox Point Joint No. 2 School District,11312
9500000US5505100,5505100,55,5100,,,10571483,0,Geneva Joint No. 4 School District,Geneva Joint No. 4 School District,1105
9500000US5505130,5505130,55,5130,,,46535679,898563,Genoa City Joint No. 2 School District,Genoa City Joint No. 2 School District,5068
9500000US5505460,5505460,55,5460,,,14716640,519005,Glendale-River Hills School District,Glendale-River Hills School District,13175
9500000US5506090,5506090,55,6090,,,129495908,2231178,Hartford Joint No. 1 School District,Hartford Joint No. 1 School District,19001
9500000US5506140,5506140,55,6140,,,21892496,1821977,Hartland-Lakeside Joint No. 3 School District,Hartland-Lakeside Joint No. 3 School District,11740
9500000US5507620,5507620,55,7620,,,136227056,1679737,Lake Geneva Joint No. 1 School District,Lake Geneva Joint No. 1 School District,18339
9500000US5508040,5508040,55,8040,,,36472524,39134,Linn Joint No. 4 School District,Linn Joint No. 4 School District,1003
9500000US5508070,5508070,55,8070,,,41137157,2397,Linn Joint No. 6 School District,Linn Joint No. 6 School District,1295
9500000US5508130,5508130,55,8130,,,17132053,63562,Richmond School District,Richmond School District,2986
9500000US5509240,5509240,55,9240,,,12279269,2572423,Swallow School District,Swallow School District,3198
9500000US5509300,5509300,55,9300,,,31435734,1310267,North Lake School District,North Lake School District,2702
9500000US5509360,5509360,55,9360,,,32755748,1433247,Merton Community School District,Merton Community School District,6776
9500000US5509390,5509390,55,9390,,,22854173,3358923,Stone Bank School District,Stone Bank School District,2710
9500000US5509690,5509690,55,9690,,,554825199,73914356,Minocqua Joint No. 1 School District,Minocqua Joint No. 1 School District,7516
9500000US5510800,5510800,55,10800,,,21058068,32878,Norway Joint No. 7 School District,Norway Joint No. 7 School District,839
