GEOID,GEOCODE,STATE,COUNTY,COUSUB,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7030000US550010000151450,5.50E+14,55,1,27950,1450,M,35168,D1,2418963,15,1341,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),0
7030000US550010000251450,5.50E+14,55,1,65450,1450,M,35168,D1,2418963,25,165413,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),0
7030000US550010000261450,5.50E+14,55,1,65450,1450,M,35168,D1,2418963,26,314147,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),0
7030000US550010000301450,5.50E+14,55,1,67425,1450,M,35168,D1,2418963,30,10118,0,Ho-Chunk Nation,Ho-Chunk Nation Reservation and Off-Reservation Trust Land (part),0
7030000US550030000570140,5.50E+14,55,3,3250,140,R,4225,D2,1577209,57,15573538,0,Bad River,Bad River Reservation (part),2
7030000US550030000610140,5.50E+14,55,3,29250,140,R,4225,D2,1577209,61,33778573,0,Bad River,Bad River Reservation (part),38
7030000US550030000650140,5.50E+14,55,3,0,140,R,4225,D2,1577209,65,753857,12633,Bad River,Bad River Reservation (part),0
7030000US550030000740140,5.50E+14,55,3,0,140,R,4225,D2,1577209,74,94632632,9039063,Bad River,Bad River Reservation (part),579
7030000US550030000750140,5.50E+14,55,3,0,140,R,4225,D2,1577209,75,312017384,1249650,Bad River,Bad River Reservation (part),802
7030000US550030000780140,5.50E+14,55,3,86850,140,R,4225,D2,1577209,78,19966323,0,Bad River,Bad River Reservation (part),124
7030000US550050000793305,5.50E+14,55,5,48950,3305,M,70642,D1,1843172,79,535154,0,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),138
7030000US550050001143305,5.50E+14,55,5,81075,3305,M,70642,D1,1843172,114,14287,0,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),0
7030000US550070001603085,5.50E+14,55,7,70300,3085,M,66600,D1,1577204,160,44908634,351028,Red Cliff,Red Cliff Reservation and Off-Reservation Trust Land (part),1138
7030000US550070001623085,5.50E+14,55,7,70300,3085,M,66600,D1,1577204,162,4269078,0,Red Cliff,Red Cliff Reservation and Off-Reservation Trust Land (part),254
7030000US550070001683085,5.50E+14,55,7,0,3085,M,66600,D1,1577204,168,9817943,0,Red Cliff,Red Cliff Reservation and Off-Reservation Trust Land (part),11
7030000US550090002022560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,202,8586346,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),800
7030000US550090002072560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,207,528654,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),830
7030000US550090002232560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,223,5274228,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),3028
7030000US550090002242560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,224,761463,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),1496
7030000US550090002562560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,256,40319,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),0
7030000US550090002682560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,268,2631123,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),699
7030000US550090002702560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,270,5518474,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),2848
7030000US550090002712560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,271,12575821,8539,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),3009
7030000US550090002772560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,277,2122269,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),3093
7030000US550090003012560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,301,4445796,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),1218
7030000US550090003112560,5.50E+14,55,9,3425,2560,M,60025,D1,1577191,311,1720927,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),129
7030000US550090003142560,5.50E+14,55,9,3425,2560,M,60025,D1,1577191,314,76750,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),85
7030000US550090003172560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,317,2115194,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),830
7030000US550090003322560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,332,10838983,298409,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),789
7030000US550090003402560,5.50E+14,55,9,31000,2560,M,60025,D1,1577191,340,2211988,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),274
7030000US550090003562560,5.50E+14,55,9,63075,2560,M,60025,D1,1577191,356,967423,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),14
7030000US550090003632560,5.50E+14,55,9,3425,2560,M,60025,D1,1577191,363,1813593,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),18
7030000US550090003642560,5.50E+14,55,9,35150,2560,M,60025,D1,1577191,364,28937794,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),1654
7030000US550090003732560,5.50E+14,55,9,35950,2560,M,60025,D1,1577191,373,36247,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),0
7030000US550090003752560,5.50E+14,55,9,3425,2560,M,60025,D1,1577191,375,848169,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),771
7030000US550090003762560,5.50E+14,55,9,3425,2560,M,60025,D1,1577191,376,15138052,0,Oneida (WI),Oneida (WI) Reservation and Off-Reservation Trust Land (part),946
7030000US550130004263305,5.50E+14,55,13,71450,3305,M,70642,D1,1843172,426,701504,0,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),78
7030000US550130004271815,5.50E+14,55,13,70225,1815,M,40650,D1,1577192,427,559368,56225,Lac Courte Oreilles,Lac Courte Oreilles Reservation and Off-Reservation Trust Land (part),3
7030000US550130004273305,5.50E+14,55,13,70225,3305,M,70642,D1,1843172,427,233237,0,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),39
7030000US550130004283305,5.50E+14,55,13,74200,3305,M,70642,D1,1843172,428,869905,53520,St. Croix,St. Croix Reservation and Off-Reservation Trust Land (part),14
