GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7000000US55001000001,55001000001,55,1,275,,14,41,1,4480381,5361,Adams - C 0001,Adams - C 0001,528
7000000US55001000002,55001000002,55,1,275,,14,41,2,669564,0,Adams - C 0002,Adams - C 0002,638
7000000US55001000003,55001000003,55,1,275,,14,41,3,1890000,0,Adams - C 0003,Adams - C 0003,243
7000000US55001000004,55001000004,55,1,275,,14,41,4,586539,0,Adams - C 0004,Adams - C 0004,352
7000000US55001000005,55001000005,55,1,300,,14,41,5,111510682,450077,ADAMS - T 0001,ADAMS - T 0001,913
7000000US55001000006,55001000006,55,1,300,,14,41,6,15702205,347645,ADAMS - T 0002,ADAMS - T 0002,349
7000000US55001000007,55001000007,55,1,300,,14,41,7,2613075,931,ADAMS - T 0003,ADAMS - T 0003,116
7000000US55001000008,55001000008,55,1,7300,,24,72,8,62235248,184670,BIG FLATS - T 0001,BIG FLATS - T 0001,333
7000000US55001000009,55001000009,55,1,7300,,24,72,9,61906422,236000,BIG FLATS - T 0002,BIG FLATS - T 0002,615
7000000US55001000010,55001000010,55,1,16075,,24,72,10,92955514,47074,COLBURN - T 0001,COLBURN - T 0001,215
7000000US55001000011,55001000011,55,1,19575,,14,41,11,34840731,2359,DELL PRAIRIE - T 0001,DELL PRAIRIE - T 0001,422
7000000US55001000012,55001000012,55,1,19575,,14,41,12,1791214,75354,DELL PRAIRIE - T 0003,DELL PRAIRIE - T 0003,178
7000000US55001000013,55001000013,55,1,22000,,14,41,13,57082651,80822,EASTON - T 0001,EASTON - T 0001,587
7000000US55001000014,55001000014,55,1,22000,,14,41,14,36296383,158246,EASTON - T 0002,EASTON - T 0002,475
7000000US55001000015,55001000015,55,1,27950,,14,41,15,2331113,114293,Friendship - V 0001,Friendship - V 0001,648
7000000US55001000016,55001000016,55,1,37625,,14,41,16,43825277,938798,JACKSON - T 0001,JACKSON - T 0001,585
7000000US55001000017,55001000017,55,1,37625,,14,41,17,46017195,1634803,JACKSON - T 0002,JACKSON - T 0002,556
7000000US55001000018,55001000018,55,1,43425,,24,72,18,96600680,72865,LEOLA - T 0001,LEOLA - T 0001,287
7000000US55001000019,55001000019,55,1,44250,,14,41,19,93432931,139295,LINCOLN - T 0001,LINCOLN - T 0001,320
7000000US55001000020,55001000020,55,1,53725,,24,72,20,56651316,40609404,MONROE - T 0001,MONROE - T 0001,391
7000000US55001000021,55001000021,55,1,56525,,14,41,21,33151751,182837,NEW CHESTER - T 0001,NEW CHESTER - T 0001,493
7000000US55001000022,55001000022,55,1,56525,,14,41,22,41789735,530728,NEW CHESTER - T 0002,NEW CHESTER - T 0002,399
7000000US55001000023,55001000023,55,1,56525,,14,41,23,5620128,11323,NEW CHESTER - T 0003,NEW CHESTER - T 0003,1068
7000000US55001000024,55001000024,55,1,56750,,14,41,24,75499026,3242627,NEW HAVEN - T 0001,NEW HAVEN - T 0001,680
7000000US55001000025,55001000025,55,1,65450,,24,72,25,35083472,1034588,PRESTON - T 0001,PRESTON - T 0001,978
7000000US55001000026,55001000026,55,1,65450,,24,72,26,56473288,237138,PRESTON - T 0002,PRESTON - T 0002,399
7000000US55001000027,55001000027,55,1,65825,,14,41,27,29610590,17433201,QUINCY - T 0001,QUINCY - T 0001,940
7000000US55001000028,55001000028,55,1,65825,,14,41,28,41101668,830290,QUINCY - T 0002,QUINCY - T 0002,144
7000000US55001000029,55001000029,55,1,65825,,14,41,29,13386094,1417639,QUINCY - T 0003,QUINCY - T 0003,75
7000000US55001000030,55001000030,55,1,67425,,14,41,30,92121523,38873,RICHFIELD - T 0001,RICHFIELD - T 0001,138
7000000US55001000031,55001000031,55,1,69275,,24,72,31,83943775,811505,ROME - T 0001,ROME - T 0001,622
7000000US55001000032,55001000032,55,1,69275,,24,72,32,9078577,811874,ROME - T 0002,ROME - T 0002,558
7000000US55001000033,55001000033,55,1,69275,,24,72,33,4330271,1100189,ROME - T 0003,ROME - T 0003,558
7000000US55001000034,55001000034,55,1,69275,,24,72,34,9606594,1208059,ROME - T 0004,ROME - T 0004,546
7000000US55001000035,55001000035,55,1,69275,,24,72,35,33162959,17117249,ROME - T 0005,ROME - T 0005,741
7000000US55001000036,55001000036,55,1,76350,,14,41,36,16960538,1232054,SPRINGVILLE - T 0001,SPRINGVILLE - T 0001,372
7000000US55001000037,55001000037,55,1,76350,,14,41,37,96210506,1060078,SPRINGVILLE - T 0002,SPRINGVILLE - T 0002,911
7000000US55001000038,55001000038,55,1,77800,,24,72,38,7606848,2119543,STRONGS PRAIRIE - T 0003,STRONGS PRAIRIE - T 0003,113
7000000US55001000039,55001000039,55,1,88150,,14,41,39,2933157,33865,Wisconsin Dells - C 0005,Wisconsin Dells - C 0005,86
7000000US55001000040,55001000040,55,1,88150,,14,41,40,994579,0,Wisconsin Dells - C 0005,Wisconsin Dells - C 0005,19
7000000US55001000041,55001000041,55,1,88150,,14,41,41,551379,0,Wisconsin Dells - C 0009,Wisconsin Dells - C 0009,0
7000000US55001000042,55001000042,55,1,77800,,24,72,42,61891487,471857,STRONGS PRAIRIE - T 0001,STRONGS PRAIRIE - T 0001,492
7000000US55001000043,55001000043,55,1,77800,,24,72,43,52734008,9741110,STRONGS PRAIRIE - T 0002,STRONGS PRAIRIE - T 0002,540
7000000US55001000044,55001000044,55,1,19575,,14,41,44,44954980,2584358,DELL PRAIRIE - T 0002,DELL PRAIRIE - T 0002,1031
7000000US55003000045,55003000045,55,3,550,,25,74,45,229862337,1916752,AGENDA - T 0001,AGENDA - T 0001,370
7000000US55003000046,55003000046,55,3,3225,,25,74,46,7956146,154682,Ashland - C 0001,Ashland - C 0001,750
7000000US55003000047,55003000047,55,3,0,,25,74,47,500032,202689,Ashland - C 0002,Ashland - C 0002,635
7000000US55003000048,55003000048,55,3,3225,,25,74,48,2019797,0,Ashland - C 0003,Ashland - C 0003,729
7000000US55003000049,55003000049,55,3,3225,,25,74,49,1300775,0,Ashland - C 0004,Ashland - C 0004,788
7000000US55003000050,55003000050,55,3,3225,,25,74,50,381443,0,Ashland - C 0005,Ashland - C 0005,745
7000000US55003000051,55003000051,55,3,0,,25,74,51,876108,330878,Ashland - C 0006,Ashland - C 0006,710
7000000US55003000052,55003000052,55,3,3225,,25,74,52,3183271,0,Ashland - C 0007,Ashland - C 0007,690
7000000US55003000053,55003000053,55,3,3225,,25,74,53,550819,0,Ashland - C 0008,Ashland - C 0008,757
7000000US55003000054,55003000054,55,3,3225,,25,74,54,700465,327248,Ashland - C 0009,Ashland - C 0009,656
7000000US55003000055,55003000055,55,3,0,,25,74,55,3825207,102890,Ashland - C 0010,Ashland - C 0010,722
7000000US55003000056,55003000056,55,3,3225,,25,74,56,13277495,0,Ashland - C 0011,Ashland - C 0011,723
7000000US55003000057,55003000057,55,3,3250,,25,74,57,106869642,202102,ASHLAND - T 0001,ASHLAND - T 0001,589
7000000US55003000058,55003000058,55,3,11525,,25,74,58,1932227,0,Butternut - V 0001,Butternut - V 0001,82
7000000US55003000059,55003000059,55,3,11525,,25,74,59,2159862,0,Butternut - V 0002,Butternut - V 0002,284
7000000US55003000060,55003000060,55,3,14550,,25,74,60,323015987,2708751,CHIPPEWA - T 0001,CHIPPEWA - T 0001,349
7000000US55003000061,55003000061,55,3,29250,,25,74,61,101048826,15040,GINGLES - T 0001,GINGLES - T 0001,738
7000000US55003000062,55003000062,55,3,29875,,25,74,62,141339495,5139912,GORDON - T 0001,GORDON - T 0001,83
7000000US55003000063,55003000063,55,3,29875,,25,74,63,129435083,1490930,GORDON - T 0002,GORDON - T 0002,178
7000000US55003000064,55003000064,55,3,37775,,25,74,64,132151444,831556,JACOBS - T 0001,JACOBS - T 0001,648
7000000US55003000065,55003000065,55,3,0,,25,74,65,201396992,3092193169,LA POINTE - T 0001,LA POINTE - T 0001,428
7000000US55003000066,55003000066,55,3,49200,,25,74,66,103211974,630608,MARENGO - T 0001,MARENGO - T 0001,174
7000000US55003000067,55003000067,55,3,49200,,25,74,67,81512021,1736393,MARENGO - T 0002,MARENGO - T 0002,286
7000000US55003000068,55003000068,55,3,50700,,25,74,68,4876551,0,Mellen - C 0001,Mellen - C 0001,698
7000000US55003000069,55003000069,55,3,54400,,25,74,69,224388199,3895606,MORSE - T 0001,MORSE - T 0001,368
7000000US55003000070,55003000070,55,3,54400,,25,74,70,30690802,38360,MORSE - T 0002,MORSE - T 0002,81
7000000US55003000071,55003000071,55,3,54400,,25,74,71,11044984,151256,MORSE - T 0003,MORSE - T 0003,50
7000000US55003000072,55003000072,55,3,61600,,25,74,72,19403134,72762,PEEKSVILLE - T 0001,PEEKSVILLE - T 0001,52
7000000US55003000073,55003000073,55,3,61600,,25,74,73,75967407,203832,PEEKSVILLE - T 0002,PEEKSVILLE - T 0002,85
7000000US55003000074,55003000074,55,3,0,,25,74,74,94632632,73024957,SANBORN - T 0001,SANBORN - T 0001,579
7000000US55003000075,55003000075,55,3,0,,25,74,75,312017384,43797770,SANBORN - T 0002,SANBORN - T 0002,802
7000000US55003000076,55003000076,55,3,72825,,25,74,76,230667836,1389001,SHANAGOLDEN - T 0001,SHANAGOLDEN - T 0001,131
7000000US55003000077,55003000077,55,3,86850,,25,74,77,93629230,171174,WHITE RIVER - T 0001,WHITE RIVER - T 0001,921
7000000US55003000078,55003000078,55,3,86850,,25,74,78,20633180,0,WHITE RIVER - T 0002,WHITE RIVER - T 0002,146
7000000US55005000079,55005000079,55,5,48950,,25,75,79,86187805,6698499,MAPLE PLAIN - T 0001,MAPLE PLAIN - T 0001,844
7000000US55005000080,55005000080,55,5,41600,,25,75,80,25535630,2034362,LAKELAND - T 0001,LAKELAND - T 0001,185
7000000US55005000081,55005000081,55,5,5650,,25,75,81,85044354,6064850,BEAR LAKE - T 0001,BEAR LAKE - T 0001,670
7000000US55005000082,55005000082,55,5,33225,,25,75,82,1305540,15109,Haugen - V 0001,Haugen - V 0001,266
7000000US55005000083,55005000083,55,5,58950,,25,75,83,47665400,1144354,OAK GROVE - T 0002,OAK GROVE - T 0002,533
7000000US55005000084,55005000084,55,5,58950,,25,75,84,42234591,28771,OAK GROVE - T 0001,OAK GROVE - T 0001,427
7000000US55005000085,55005000085,55,5,13500,,25,75,85,81213368,10447647,CEDAR LAKE - T 0001,CEDAR LAKE - T 0001,1076
7000000US55005000086,55005000086,55,5,17875,,25,75,86,83903928,4508475,CRYSTAL LAKE - T 0001,CRYSTAL LAKE - T 0001,743
7000000US55005000087,55005000087,55,5,76550,,25,75,87,92893835,121280,STANFOLD - T 0001,STANFOLD - T 0001,701
