GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7100000US5500100000100275,5500100000100270,55,1,275,,,,1,4480381,5361,Adams,Adams city (part),528
7100000US5500100000200275,5500100000200270,55,1,275,,,,2,669564,0,Adams,Adams city (part),638
7100000US5500100000300275,5500100000300270,55,1,275,,,,3,1890000,0,Adams,Adams city (part),243
7100000US5500100000400275,5500100000400270,55,1,275,,,,4,586539,0,Adams,Adams city (part),352
7100000US5500100000500300,5500100000500300,55,1,300,,,,5,111510682,450077,Adams,Adams town (part),913
7100000US5500100000600300,5500100000600300,55,1,300,,,,6,15702205,347645,Adams,Adams town (part),349
7100000US5500100000700300,5500100000700300,55,1,300,,,,7,2613075,931,Adams,Adams town (part),116
7100000US5500100000807300,5500100000807300,55,1,7300,,,,8,62235248,184670,Big Flats,Big Flats town (part),333
7100000US5500100000907300,5500100000907300,55,1,7300,,,,9,61906422,236000,Big Flats,Big Flats town (part),615
7100000US5500100001016075,5500100001016070,55,1,16075,,,,10,92955514,47074,Colburn,Colburn town,215
7100000US5500100001119575,5500100001119570,55,1,19575,,,,11,34840731,2359,Dell Prairie,Dell Prairie town (part),422
7100000US5500100001219575,5500100001219570,55,1,19575,,,,12,1791214,75354,Dell Prairie,Dell Prairie town (part),178
7100000US5500100001322000,5500100001322000,55,1,22000,,,,13,57082651,80822,Easton,Easton town (part),587
7100000US5500100001422000,5500100001422000,55,1,22000,,,,14,36296383,158246,Easton,Easton town (part),475
7100000US5500100001527950,5500100001527950,55,1,27950,,,,15,2331113,114293,Friendship,Friendship village,648
7100000US5500100001637625,5500100001637620,55,1,37625,,,,16,43825277,938798,Jackson,Jackson town (part),585
7100000US5500100001737625,5500100001737620,55,1,37625,,,,17,46017195,1634803,Jackson,Jackson town (part),556
7100000US5500100001843425,5500100001843420,55,1,43425,,,,18,96600680,72865,Leola,Leola town,287
7100000US5500100001944250,5500100001944250,55,1,44250,,,,19,93432931,139295,Lincoln,Lincoln town,320
7100000US5500100002053725,5500100002053720,55,1,53725,,,,20,56651316,40609404,Monroe,Monroe town,391
7100000US5500100002156525,5500100002156520,55,1,56525,,,,21,33151751,182837,New Chester,New Chester town (part),493
7100000US5500100002256525,5500100002256520,55,1,56525,,,,22,41789735,530728,New Chester,New Chester town (part),399
7100000US5500100002356525,5500100002356520,55,1,56525,,,,23,5620128,11323,New Chester,New Chester town (part),1068
7100000US5500100002456750,5500100002456750,55,1,56750,,,,24,75499026,3242627,New Haven,New Haven town,680
7100000US5500100002565450,5500100002565450,55,1,65450,,,,25,35083472,1034588,Preston,Preston town (part),978
7100000US5500100002665450,5500100002665450,55,1,65450,,,,26,56473288,237138,Preston,Preston town (part),399
