GEOID,GEOCODE,STATE,COUNTY,COUSUB,TRACT,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7090000US55001000001950400,5.5001E+16,55,1,275,950400,1,4480381,5361,9504,Census Tract 9504 (part),528
7090000US55001000002950400,5.5001E+16,55,1,275,950400,2,669564,0,9504,Census Tract 9504 (part),638
7090000US55001000003950400,5.5001E+16,55,1,275,950400,3,1890000,0,9504,Census Tract 9504 (part),243
7090000US55001000004950400,5.5001E+16,55,1,275,950400,4,586539,0,9504,Census Tract 9504 (part),352
7090000US55001000005950201,5.5001E+16,55,1,300,950201,5,70596,9346,9502.01,Census Tract 9502.01 (part),0
7090000US55001000005950400,5.5001E+16,55,1,300,950400,5,95277240,358250,9504,Census Tract 9504 (part),885
7090000US55001000005950501,5.5001E+16,55,1,300,950501,5,14866986,78158,9505.01,Census Tract 9505.01 (part),19
7090000US55001000005950502,5.5001E+16,55,1,300,950502,5,1295860,4323,9505.02,Census Tract 9505.02 (part),9
7090000US55001000006950201,5.5001E+16,55,1,300,950201,6,2047363,57926,9502.01,Census Tract 9502.01 (part),50
7090000US55001000006950400,5.5001E+16,55,1,300,950400,6,13654842,289719,9504,Census Tract 9504 (part),299
7090000US55001000007950400,5.5001E+16,55,1,300,950400,7,2613075,931,9504,Census Tract 9504 (part),116
7090000US55001000008950203,5.5001E+16,55,1,7300,950203,8,34885338,184670,9502.03,Census Tract 9502.03 (part),188
7090000US55001000008950204,5.5001E+16,55,1,7300,950204,8,27349910,0,9502.04,Census Tract 9502.04 (part),145
7090000US55001000009950203,5.5001E+16,55,1,7300,950203,9,22383211,195144,9502.03,Census Tract 9502.03 (part),319
7090000US55001000009950204,5.5001E+16,55,1,7300,950204,9,39523211,40856,9502.04,Census Tract 9502.04 (part),296
7090000US55001000010950203,5.5001E+16,55,1,16075,950203,10,46580428,43613,9502.03,Census Tract 9502.03 (part),129
7090000US55001000010950204,5.5001E+16,55,1,16075,950204,10,46375086,3461,9502.04,Census Tract 9502.04 (part),86
7090000US55001000011950700,5.5001E+16,55,1,19575,950700,11,34840731,2359,9507,Census Tract 9507 (part),422
7090000US55001000012950502,5.5001E+16,55,1,19575,950502,12,7983,0,9505.02,Census Tract 9505.02 (part),0
7090000US55001000012950700,5.5001E+16,55,1,19575,950700,12,1783231,75354,9507,Census Tract 9507 (part),178
7090000US55001000013950501,5.5001E+16,55,1,22000,950501,13,8759600,10611,9505.01,Census Tract 9505.01 (part),66
7090000US55001000013950502,5.5001E+16,55,1,22000,950502,13,48323051,70211,9505.02,Census Tract 9505.02 (part),521
7090000US55001000014950501,5.5001E+16,55,1,22000,950501,14,15300154,7796,9505.01,Census Tract 9505.01 (part),229
7090000US55001000014950502,5.5001E+16,55,1,22000,950502,14,20996229,150450,9505.02,Census Tract 9505.02 (part),246
7090000US55001000015950400,5.5001E+16,55,1,27950,950400,15,2331113,114293,9504,Census Tract 9504 (part),648
7090000US55001000016950700,5.5001E+16,55,1,37625,950700,16,43825277,938798,9507,Census Tract 9507 (part),585
7090000US55001000017950700,5.5001E+16,55,1,37625,950700,17,46017195,1634803,9507,Census Tract 9507 (part),556
7090000US55001000018950100,5.5001E+16,55,1,43425,950100,18,95644793,71706,9501,Census Tract 9501 (part),281
7090000US55001000018950203,5.5001E+16,55,1,43425,950203,18,955887,1159,9502.03,Census Tract 9502.03 (part),6
7090000US55001000019950400,5.5001E+16,55,1,44250,950400,19,93432931,139295,9504,Census Tract 9504 (part),320
7090000US55001000020950204,5.5001E+16,55,1,53725,950204,20,56651316,40609404,9502.04,Census Tract 9502.04 (part),391
7090000US55001000021950502,5.5001E+16,55,1,56525,950502,21,26204768,182837,9505.02,Census Tract 9505.02 (part),291
7090000US55001000021950700,5.5001E+16,55,1,56525,950700,21,6946983,0,9507,Census Tract 9507 (part),202
7090000US55001000022950400,5.5001E+16,55,1,56525,950400,22,4492436,71710,9504,Census Tract 9504 (part),37
7090000US55001000022950502,5.5001E+16,55,1,56525,950502,22,34579366,435058,9505.02,Census Tract 9505.02 (part),360
7090000US55001000022950700,5.5001E+16,55,1,56525,950700,22,2717933,23960,9507,Census Tract 9507 (part),2
7090000US55001000023950400,5.5001E+16,55,1,56525,950400,23,642245,365,9504,Census Tract 9504 (part),3
7090000US55001000023950502,5.5001E+16,55,1,56525,950502,23,4977883,10958,9505.02,Census Tract 9505.02 (part),1065
7090000US55001000024950700,5.5001E+16,55,1,56750,950700,24,75499026,3242627,9507,Census Tract 9507 (part),680
7090000US55001000025950201,5.5001E+16,55,1,65450,950201,25,9467252,28366,9502.01,Census Tract 9502.01 (part),257
7090000US55001000025950203,5.5001E+16,55,1,65450,950203,25,6990862,918753,9502.03,Census Tract 9502.03 (part),273
7090000US55001000025950204,5.5001E+16,55,1,65450,950204,25,12751367,11342,9502.04,Census Tract 9502.04 (part),83
7090000US55001000025950400,5.5001E+16,55,1,65450,950400,25,5873991,76127,9504,Census Tract 9504 (part),365
7090000US55001000026950201,5.5001E+16,55,1,65450,950201,26,21377217,227488,9502.01,Census Tract 9502.01 (part),282
7090000US55001000026950204,5.5001E+16,55,1,65450,950204,26,35096071,9650,9502.04,Census Tract 9502.04 (part),117
7090000US55001000027950400,5.5001E+16,55,1,65825,950400,27,9005730,23666,9504,Census Tract 9504 (part),55
7090000US55001000027950501,5.5001E+16,55,1,65825,950501,27,20604860,17409535,9505.01,Census Tract 9505.01 (part),885
7090000US55001000028950501,5.5001E+16,55,1,65825,950501,28,41101668,830290,9505.01,Census Tract 9505.01 (part),144
7090000US55001000029950501,5.5001E+16,55,1,65825,950501,29,13386094,1417639,9505.01,Census Tract 9505.01 (part),75
7090000US55001000030950204,5.5001E+16,55,1,67425,950204,30,91888981,38873,9502.04,Census Tract 9502.04 (part),138
7090000US55001000030950400,5.5001E+16,55,1,67425,950400,30,232542,0,9504,Census Tract 9504 (part),0
7090000US55001000031950100,5.5001E+16,55,1,69275,950100,31,83943775,811505,9501,Census Tract 9501 (part),622
7090000US55001000032950100,5.5001E+16,55,1,69275,950100,32,9078577,811874,9501,Census Tract 9501 (part),558
7090000US55001000033950100,5.5001E+16,55,1,69275,950100,33,4330271,1100189,9501,Census Tract 9501 (part),558
7090000US55001000034950100,5.5001E+16,55,1,69275,950100,34,9606594,1208059,9501,Census Tract 9501 (part),546
7090000US55001000035950100,5.5001E+16,55,1,69275,950100,35,31347791,13544216,9501,Census Tract 9501 (part),677
7090000US55001000035950204,5.5001E+16,55,1,69275,950204,35,1815168,3573033,9502.04,Census Tract 9502.04 (part),64
7090000US55001000036950502,5.5001E+16,55,1,76350,950502,36,16960538,1232054,9505.02,Census Tract 9505.02 (part),372
7090000US55001000037950502,5.5001E+16,55,1,76350,950502,37,96210506,1060078,9505.02,Census Tract 9505.02 (part),911
7090000US55001000038950201,5.5001E+16,55,1,77800,950201,38,6708931,2004189,9502.01,Census Tract 9502.01 (part),111
7090000US55001000038950400,5.5001E+16,55,1,77800,950400,38,897917,115354,9504,Census Tract 9504 (part),2
7090000US55001000039950700,5.5001E+16,55,1,88150,950700,39,2933157,33865,9507,Census Tract 9507 (part),86
7090000US55001000040950700,5.5001E+16,55,1,88150,950700,40,994579,0,9507,Census Tract 9507 (part),19
7090000US55001000041950700,5.5001E+16,55,1,88150,950700,41,551379,0,9507,Census Tract 9507 (part),0
7090000US55001000042950201,5.5001E+16,55,1,77800,950201,42,34842867,89435,9502.01,Census Tract 9502.01 (part),267
7090000US55001000042950203,5.5001E+16,55,1,77800,950203,42,2556254,25495,9502.03,Census Tract 9502.03 (part),20
7090000US55001000042950204,5.5001E+16,55,1,77800,950204,42,24329927,356927,9502.04,Census Tract 9502.04 (part),205
7090000US55001000042950400,5.5001E+16,55,1,77800,950400,42,162439,0,9504,Census Tract 9504 (part),0
7090000US55001000043950201,5.5001E+16,55,1,77800,950201,43,34975597,5225328,9502.01,Census Tract 9502.01 (part),419
7090000US55001000043950204,5.5001E+16,55,1,77800,950204,43,17758411,4515782,9502.04,Census Tract 9502.04 (part),121
7090000US55001000044950700,5.5001E+16,55,1,19575,950700,44,44954980,2584358,9507,Census Tract 9507 (part),1031
7090000US55003000045950700,5.5003E+16,55,3,550,950700,45,229862337,1916752,9507,Census Tract 9507 (part),370
7090000US55003000046950400,5.5003E+16,55,3,3225,950400,46,5940134,154682,9504,Census Tract 9504 (part),750
7090000US55003000046950500,5.5003E+16,55,3,3225,950500,46,2016012,0,9505,Census Tract 9505 (part),0
7090000US55003000047950400,5.5003E+16,55,3,0,950400,47,500032,43623,9504,Census Tract 9504 (part),635
7090000US55003000047950800,5.5003E+16,55,3,0,950800,47,0,159066,9508,Census Tract 9508 (part),0
7090000US55003000048950300,5.5003E+16,55,3,3225,950300,48,25505,0,9503,Census Tract 9503 (part),36
7090000US55003000048950400,5.5003E+16,55,3,3225,950400,48,1994292,0,9504,Census Tract 9504 (part),693
7090000US55003000049950300,5.5003E+16,55,3,3225,950300,49,1274546,0,9503,Census Tract 9503 (part),741
7090000US55003000049950400,5.5003E+16,55,3,3225,950400,49,26229,0,9504,Census Tract 9504 (part),47
7090000US55003000050950300,5.5003E+16,55,3,3225,950300,50,344101,0,9503,Census Tract 9503 (part),669
7090000US55003000050950400,5.5003E+16,55,3,3225,950400,50,37342,0,9504,Census Tract 9504 (part),76
7090000US55003000051950300,5.5003E+16,55,3,0,950300,51,786248,63299,9503,Census Tract 9503 (part),599
7090000US55003000051950400,5.5003E+16,55,3,0,950400,51,36335,0,9504,Census Tract 9504 (part),66
7090000US55003000051950800,5.5003E+16,55,3,0,950800,51,53525,267579,9508,Census Tract 9508 (part),45
7090000US55003000052950300,5.5003E+16,55,3,3225,950300,52,3183271,0,9503,Census Tract 9503 (part),690
7090000US55003000053950800,5.5003E+16,55,3,3225,950800,53,550819,0,9508,Census Tract 9508 (part),757
7090000US55003000054950800,5.5003E+16,55,3,3225,950800,54,700465,327248,9508,Census Tract 9508 (part),656
7090000US55003000055950800,5.5003E+16,55,3,0,950800,55,3825207,102890,9508,Census Tract 9508 (part),722
7090000US55003000056950800,5.5003E+16,55,3,3225,950800,56,13277495,0,9508,Census Tract 9508 (part),723
7090000US55003000057940000,5.5003E+16,55,3,3250,940000,57,26957386,0,9400,Census Tract 9400 (part),72
7090000US55003000057950500,5.5003E+16,55,3,3250,950500,57,62146062,148380,9505,Census Tract 9505 (part),487
7090000US55003000057950600,5.5003E+16,55,3,3250,950600,57,17766194,53722,9506,Census Tract 9506 (part),30
7090000US55003000058950700,5.5003E+16,55,3,11525,950700,58,1932227,0,9507,Census Tract 9507 (part),82
