GEOID,GEOCODE,STATE,COUNTY,TRACT,AREALAND,AREAWATR,BASENAME,NAME,POP100,county_name
1400000US55001950100,55001950100,55,1,950100,233951801,17547549,9501,Census Tract 9501,3242,Adams
1400000US55001950201,55001950201,55,1,950201,109489823,7642078,9502.01,Census Tract 9502.01,1386,Adams
1400000US55001950203,55001950203,55,1,950203,114351980,1368834,9502.03,Census Tract 9502.03,935,Adams
1400000US55001950204,55001950204,55,1,950204,353539448,49159328,9502.04,Census Tract 9502.04,1646,Adams
1400000US55001950400,55001950400,55,1,950400,236242985,1195071,9504,Census Tract 9504,4491,Adams
1400000US55001950501,55001950501,55,1,950501,114019362,19754029,9505.01,Census Tract 9505.01,1418,Adams
1400000US55001950502,55001950502,55,1,950502,249556184,3145969,9505.02,Census Tract 9505.02,3775,Adams
1400000US55001950700,55001950700,55,1,950700,261064471,8536124,9507,Census Tract 9507,3761,Adams
1400000US55003940000,55003940000,55,3,940000,567097187,20990356,9400,Census Tract 9400,2066,Ashland
1400000US55003950300,55003950300,55,3,950300,5613671,63299,9503,Census Tract 9503,2735,Ashland
1400000US55003950400,55003950400,55,3,950400,8534364,198305,9504,Census Tract 9504,2267,Ashland
1400000US55003950500,55003950500,55,3,950500,335435241,2301643,9505,Census Tract 9505,2212,Ashland
1400000US55003950600,55003950600,55,3,950600,519304885,10419297,9506,Census Tract 9506,1356,Ashland
1400000US55003950700,55003950700,55,3,950700,1047215553,7834735,9507,Census Tract 9507,2043,Ashland
1400000US55003950800,55003950800,55,3,950800,223257886,1075374226,9508,Census Tract 9508,3348,Ashland
1400000US55003990000,55003990000,55,3,990000,0,2113546457,9900,Census Tract 9900,0,Ashland
1400000US55005000100,55005000100,55,5,100,337509256,22915982,1,Census Tract 1,3931,Barron
1400000US55005000200,55005000200,55,5,200,182546777,13478044,2,Census Tract 2,4079,Barron
1400000US55005000300,55005000300,55,5,300,254660510,8467853,3,Census Tract 3,4182,Barron
1400000US55005000400,55005000400,55,5,400,216729567,823652,4,Census Tract 4,5669,Barron
1400000US55005000500,55005000500,55,5,500,20600571,0,5,Census Tract 5,4677,Barron
1400000US55005000601,55005000601,55,5,601,7933306,1178828,6.01,Census Tract 6.01,2466,Barron
1400000US55005000602,55005000602,55,5,602,10474783,3519018,6.02,Census Tract 6.02,3689,Barron
1400000US55005000800,55005000800,55,5,800,272422004,1404744,8,Census Tract 8,5527,Barron
1400000US55005000900,55005000900,55,5,900,563127170,1419103,9,Census Tract 9,4961,Barron
1400000US55005001001,55005001001,55,5,1001,201721407,1632853,10.01,Census Tract 10.01,1935,Barron
1400000US55005001003,55005001003,55,5,1003,11030634,4918602,10.03,Census Tract 10.03,1607,Barron
1400000US55005001004,55005001004,55,5,1004,156525425,9435837,10.04,Census Tract 10.04,3988,Barron
1400000US55007960100,55007960100,55,7,960100,456035886,263274678,9601,Census Tract 9601,3241,Bayfield
1400000US55007960200,55007960200,55,7,960200,837962023,20742630,9602,Census Tract 9602,1902,Bayfield
1400000US55007960300,55007960300,55,7,960300,347196228,58382002,9603,Census Tract 9603,3671,Bayfield
