GEOID,GEOCODE,STATE,COUNTY,COUSUB,VTD,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
7070000US5501700054699999,5.5017E+15,55,17,21600,546,,99999,,89196267,4169720,EAGLE POINT - T 0004,EAGLE POINT - T 0004,856
7070000US5501700054799999,5.5017E+15,55,17,36000,547,,99999,,92788869,0,HOWARD - T 0001,HOWARD - T 0001,777
7070000US5501700054899999,5.5017E+15,55,17,3725,548,,99999,,92600756,607,AUBURN - T 0001,AUBURN - T 0001,776
7070000US5501700054999999,5.5017E+15,55,17,16800,549,,99999,,88759732,28562,COOKS VALLEY - T 0001,COOKS VALLEY - T 0001,757
7070000US5501700055099999,5.5017E+15,55,17,22750,550,,99999,,85359324,86542,EDSON - T 0002,EDSON - T 0002,760
7070000US5501700055199999,5.5017E+15,55,17,24375,551,,99999,,81581273,1557318,ESTELLA - T 0001,ESTELLA - T 0001,476
7070000US5501700055299999,5.5017E+15,55,17,86537,552,,99999,,63199582,0,WHEATON - T 0001,WHEATON - T 0001,887
7070000US5501700055399999,5.5017E+15,55,17,73875,553,,99999,,60613853,268478,SIGEL - T 0002,SIGEL - T 0002,748
7070000US5501700055499999,5.5017E+15,55,17,88875,554,,99999,,60145460,76121,WOODMOHR - T 0002,WOODMOHR - T 0002,610
7070000US5501700055599999,5.5017E+15,55,17,2175,555,,99999,,56338156,1802654,ANSON - T 0001,ANSON - T 0001,735
7070000US5501700055699999,5.5017E+15,55,17,22750,556,,99999,,54227645,37783,EDSON - T 0001,EDSON - T 0001,381
7070000US5501700055799999,5.5017E+15,55,17,79875,557,,99999,,49368725,372850,TILDEN - T 0001,TILDEN - T 0001,825
7070000US5501700055899999,5.5017E+15,55,17,41550,558,,99999,,43782841,2691715,LAKE HOLCOMBE - T 0002,LAKE HOLCOMBE - T 0002,368
7070000US5501700055999999,5.5017E+15,55,17,29700,559,,99999,,45880775,55438,GOETZ - T 0001,GOETZ - T 0001,498
7070000US5501700056099999,5.5017E+15,55,17,86537,560,,99999,,40828219,1353056,WHEATON - T 0003,WHEATON - T 0003,917
7070000US5501700056199999,5.5017E+15,55,17,21600,561,,99999,,37519316,185472,EAGLE POINT - T 0002,EAGLE POINT - T 0002,704
7070000US5501700056299999,5.5017E+15,55,17,86537,562,,99999,,36792253,0,WHEATON - T 0002,WHEATON - T 0002,955
7070000US5501700056399999,5.5017E+15,55,17,79875,563,,99999,,36116147,78179,TILDEN - T 0002,TILDEN - T 0002,465
7070000US5501700056499999,5.5017E+15,55,17,41550,564,,99999,,25145890,7253558,LAKE HOLCOMBE - T 0001,LAKE HOLCOMBE - T 0001,643
7070000US5501700056599999,5.5017E+15,55,17,73875,565,,99999,,31897476,67861,SIGEL - T 0001,SIGEL - T 0001,384
7070000US5501700056699999,5.5017E+15,55,17,40900,566,,99999,,30739478,102962,LAFAYETTE - T 0006,LAFAYETTE - T 0006,708
7070000US5501700056799999,5.5017E+15,55,17,29700,567,,99999,,29524223,164535,GOETZ - T 0002,GOETZ - T 0002,289
7070000US5501700056899999,5.5017E+15,55,17,88875,568,,99999,,30380049,48629,WOODMOHR - T 0001,WOODMOHR - T 0001,390
7070000US5501700056999999,5.5017E+15,55,17,2175,569,,99999,,19672868,2755230,ANSON - T 0002,ANSON - T 0002,915
7070000US5501700057099999,5.5017E+15,55,17,40900,570,,99999,,21628583,131483,LAFAYETTE - T 0004,LAFAYETTE - T 0004,903
7070000US5501700057199999,5.5017E+15,55,17,8250,571,,99999,,21387430,1816,BLOOMER - T 0001,BLOOMER - T 0001,233
7070000US5501700057299999,5.5017E+15,55,17,2175,572,,99999,,17681332,1977225,ANSON - T 0003,ANSON - T 0003,630
7070000US5501700057399999,5.5017E+15,55,17,32125,573,,99999,,19246670,0,HALLIE - T 0001,HALLIE - T 0001,153
7070000US5501700057499999,5.5017E+15,55,17,21600,574,,99999,,18347221,295470,EAGLE POINT - T 0003,EAGLE POINT - T 0003,845
